Time,Open,High,Low,Close,Volume,VolumeForecast
2022-04-27 06:30:00+03:30,1898.768,1899.653,1896.778,1899.013,1295289.993,1473341.9793765638
2022-04-27 07:30:00+03:30,1898.968,1899.318,1895.891,1897.953,1281280.041,1295289.9637109064
2022-04-27 08:30:00+03:30,1897.893,1900.658,1897.513,1899.168,1411229.968,1281280.011300855
2022-04-27 09:30:00+03:30,1899.153,1901.278,1897.068,1898.343,2884229.899,1411229.9421043065
2022-04-27 10:30:00+03:30,1898.343,1903.448,1896.613,1897.568,3405349.97,2884229.9162169457
2022-04-27 11:30:00+03:30,1897.568,1897.898,1886.468,1893.368,3260780.096,3405350.002469398
2022-04-27 12:30:00+03:30,1893.358,1898.158,1893.168,1895.06,2483939.886,3260780.124238041
2022-04-27 13:30:00+03:30,1895.06,1897.983,1893.928,1897.518,2011840.105,2483939.8915010192
2022-04-27 14:30:00+03:30,1897.518,1901.288,1895.818,1900.288,2929680.109,2011840.0966833218
2022-04-27 15:30:00+03:30,1900.221,1906.898,1895.688,1896.323,4201769.829,2929680.1275472096
2022-04-27 16:30:00+03:30,1896.323,1897.258,1881.538,1887.993,5614339.829,4201769.884779489
2022-04-27 17:30:00+03:30,1887.941,1890.588,1884.943,1885.358,5079269.886,5614339.926123428
2022-04-27 18:30:00+03:30,1885.348,1886.595,1881.248,1884.868,4020050.049,5079269.967462682
2022-04-27 19:30:00+03:30,1884.878,1889.393,1884.758,1887.438,2797800.064,4020050.099460806
2022-04-27 20:30:00+03:30,1887.433,1891.438,1886.578,1891.018,2546070.099,2797800.0786872655
2022-04-27 21:30:00+03:30,1891.013,1891.253,1886.168,1886.488,2126600.027,2546070.1063194834
2022-04-27 22:30:00+03:30,1886.488,1887.928,1885.038,1886.363,3591109.991,2126600.022042183
2022-04-27 23:30:00+03:30,1886.306,1886.306,1884.768,1885.748,1007290.006,3591110.028906333
2022-04-28 01:30:00+03:30,1885.213,1886.063,1883.978,1884.768,480800.0028,1007289.9682815515
2022-04-28 02:30:00+03:30,1884.778,1886.118,1883.081,1885.513,641380.012,480799.9496719283
2022-04-28 03:30:00+03:30,1885.493,1886.658,1883.478,1883.748,868229.9852,641379.96357188
2022-04-28 04:30:00+03:30,1883.798,1884.338,1881.398,1882.508,1795510.054,868229.9434114599
2022-04-28 05:30:00+03:30,1882.508,1884.338,1880.658,1882.798,1240249.991,1795510.039351645
2022-04-28 06:30:00+03:30,1882.798,1882.948,1877.498,1878.828,2412300.11,1240249.9600999628
2022-04-28 07:30:00+03:30,1878.818,1879.188,1875.608,1878.168,1501019.955,2412300.113404223
2022-04-28 08:30:00+03:30,1878.188,1878.363,1871.938,1873.688,2107860.088,1501019.9317323337
2022-04-28 09:30:00+03:30,1873.698,1882.538,1873.448,1882.153,2843219.996,2107860.0824936917
2022-04-28 10:30:00+03:30,1882.153,1886.618,1881.043,1884.888,3046200.037,2843220.012016643
2022-04-28 11:30:00+03:30,1884.888,1889.898,1879.858,1886.143,2833319.902,3046200.058957584
2022-04-28 12:30:00+03:30,1886.153,1891.658,1885.818,1889.558,2709379.911,2833319.9177268813
2022-04-28 13:30:00+03:30,1889.558,1890.008,1885.313,1888.633,2745820.046,2709379.9230993316
2022-04-28 14:30:00+03:30,1888.633,1890.613,1885.238,1886.103,2534149.885,2745820.059165884
2022-04-28 15:30:00+03:30,1886.038,1895.248,1881.823,1885.448,5155729.771,2534149.891970595
2022-04-28 16:30:00+03:30,1885.448,1892.963,1883.883,1890.225,5276949.883,5155729.854700556
2022-04-28 17:30:00+03:30,1890.318,1890.818,1883.088,1886.748,4994029.999,5276949.970248499
2022-04-28 18:30:00+03:30,1886.748,1890.498,1885.738,1885.868,2807569.981,4994030.077967831
2022-04-28 19:30:00+03:30,1885.968,1890.023,1884.668,1888.563,1997009.993,2807569.9959732178
2022-04-28 20:30:00+03:30,1888.563,1891.573,1887.603,1888.783,2617870.092,1997009.9842492652
2022-04-28 21:30:00+03:30,1888.783,1892.558,1888.783,1892.438,1969939.947,2617870.1014209683
2022-04-28 22:30:00+03:30,1892.418,1896.608,1892.338,1895.888,1980610.013,1969939.937456963
2022-04-28 23:30:00+03:30,1895.888,1896.188,1893.638,1894.228,941810.0119,1980610.0037692608
2022-04-29 01:30:00+03:30,1894.138,1895.318,1892.758,1892.768,397379.9944,941809.972265044
2022-04-29 02:30:00+03:30,1892.808,1895.563,1892.468,1895.428,634370.029,397379.9388303419
2022-04-29 03:30:00+03:30,1895.418,1897.898,1894.888,1897.163,959879.9944,634369.9803667075
2022-04-29 04:30:00+03:30,1897.163,1905.738,1896.523,1902.378,2197350.025,959879.9552939269
2022-04-29 05:30:00+03:30,1902.388,1904.488,1898.458,1900.643,2026870.012,2197350.0221129362
2022-04-29 06:30:00+03:30,1900.653,1904.248,1900.138,1904.228,2160559.893,2026870.004123226
2022-04-29 07:30:00+03:30,1904.228,1905.853,1903.353,1905.763,1004009.962,2160559.8890361413
2022-04-29 08:30:00+03:30,1905.753,1908.238,1905.368,1906.798,2083590.031,1004009.9241855491
2022-04-29 09:30:00+03:30,1906.798,1912.753,1906.118,1911.403,2918920.04,2083590.0247833412
2022-04-29 10:30:00+03:30,1911.403,1917.788,1909.948,1917.145,3390269.995,2918920.0582322776
2022-04-29 11:30:00+03:30,1917.145,1917.313,1912.818,1913.833,2707870.007,3390270.0270280284
2022-04-29 12:30:00+03:30,1913.843,1916.853,1913.088,1914.658,2454999.924,2707870.0190551393
2022-04-29 13:30:00+03:30,1914.618,1917.673,1914.428,1914.923,2344069.958,2454999.928653987
2022-04-29 14:30:00+03:30,1914.943,1919.838,1914.043,1919.418,2500080.109,2344069.959407223
2022-04-29 15:30:00+03:30,1919.418,1919.705,1907.408,1910.815,4388370.037,2500080.114973421
2022-04-29 16:30:00+03:30,1910.815,1913.458,1902.428,1910.715,4776559.83,4388370.098241014
2022-04-29 17:30:00+03:30,1910.679,1914.513,1907.703,1911.213,4626229.763,4776559.902602784
2022-04-29 18:30:00+03:30,1911.293,1913.273,1904.125,1909.523,3550329.924,4626229.831202835
2022-04-29 19:30:00+03:30,1909.523,1909.593,1906.553,1908.128,2270420.075,3550329.960712758
2022-04-29 20:30:00+03:30,1908.168,1911.523,1907.183,1909.863,2334800.005,2270420.0742515945
2022-04-29 21:30:00+03:30,1909.863,1911.363,1907.433,1908.023,2115010.023,2334800.006135904
2022-04-29 22:30:00+03:30,1908.043,1908.103,1894.373,1896.518,3866080.046,2115010.0177029604
2022-04-29 23:30:00+03:30,1896.448,1897.613,1895.263,1895.748,876800.0007,3866080.0919543207
2022-05-02 01:30:00+03:30,1895.635,1899.633,1895.338,1897.968,1127635.002,876799.9591622921
2022-05-02 02:30:00+03:30,1897.958,1899.788,1896.948,1897.118,1198289.99,1127634.9678038806
2022-05-02 03:30:00+03:30,1897.118,1898.373,1888.863,1890.378,2419480.085,1198289.9578718527
2022-05-02 04:30:00+03:30,1890.528,1892.488,1889.758,1889.978,1903640.032,2419480.088614371
2022-05-02 05:30:00+03:30,1889.978,1891.663,1884.368,1887.673,1781909.943,1903640.0205164575
2022-05-02 06:30:00+03:30,1887.658,1889.318,1886.583,1888.448,1236330.032,1781909.9279535888
2022-05-02 07:30:00+03:30,1888.428,1888.438,1883.763,1885.468,1432710.052,1236330.0009852313
2022-05-02 08:30:00+03:30,1885.468,1887.013,1882.623,1885.708,1469689.965,1432710.0267329984
2022-05-02 09:30:00+03:30,1885.688,1887.658,1883.043,1887.058,1986729.98,1469689.9408153486
2022-05-02 10:30:00+03:30,1887.058,1887.283,1883.017,1884.147,2026819.944,1986729.9709483837
2022-05-02 11:30:00+03:30,1884.137,1885.398,1879.328,1879.768,2305949.926,2026819.9361217604
2022-05-02 12:30:00+03:30,1879.768,1881.208,1876.708,1880.673,1778859.973,2305949.926291503
2022-05-02 13:30:00+03:30,1880.638,1882.193,1877.128,1881.983,1908040.047,1778859.9578643206
2022-05-02 14:30:00+03:30,1882.003,1882.218,1875.713,1876.013,2147219.896,1908040.0356452398
2022-05-02 15:30:00+03:30,1875.939,1876.598,1860.453,1861.498,4413000.107,2147219.8916456983
2022-05-02 16:30:00+03:30,1861.498,1864.398,1854.468,1857.938,5379509.926,4413000.168961902
2022-05-02 17:30:00+03:30,1857.915,1864.908,1857.688,1862.694,5024030.209,5379510.016250287
2022-05-02 18:30:00+03:30,1862.694,1872.013,1859.746,1869.994,3781709.909,5024030.288845895
2022-05-02 19:30:00+03:30,1869.998,1870.128,1864.948,1865.978,2928260.088,3781709.952484925
2022-05-02 20:30:00+03:30,1865.978,1866.818,1861.608,1866.125,2166249.991,2928260.1065056473
2022-05-02 21:30:00+03:30,1866.198,1866.538,1859.808,1859.878,2212739.945,2166249.987202682
2022-05-02 22:30:00+03:30,1859.922,1863.943,1859.838,1861.668,2555439.949,2212739.942563378
2022-05-02 23:30:00+03:30,1861.598,1863.113,1861.173,1862.638,678560.0185,2555439.956593726
2022-05-03 01:30:00+03:30,1862.333,1864.213,1862.333,1863.633,343030.0057,678559.9711600863
2022-05-03 02:30:00+03:30,1863.593,1863.623,1862.178,1863.098,447820.0078,343029.9485395942
2022-05-03 03:30:00+03:30,1863.098,1866.998,1863.078,1866.718,1355919.957,447819.9537066503
2022-05-03 04:30:00+03:30,1866.688,1866.688,1859.578,1859.888,1255339.98,1355919.9294854605
2022-05-03 05:30:00+03:30,1859.888,1865.288,1859.698,1865.143,1020220.041,1255339.9495416256
2022-05-03 06:30:00+03:30,1865.163,1865.213,1862.183,1862.493,940180.0036,1020220.0036599955
