,Time,Open,High,Low,Close,Volume,VolumeForecast
25512,2022-04-27 06:30:00,1898.768,1899.653,1896.778,1899.013,1295289.993,1238804.0634671978
25513,2022-04-27 07:30:00,1898.968,1899.318,1895.891,1897.953,1281280.041,931920.5221243275
25514,2022-04-27 08:30:00,1897.893,1900.658,1897.513,1899.168,1411229.968,1299025.6020453717
25515,2022-04-27 09:30:00,1899.153,1901.278,1897.068,1898.343,2884229.899,2103173.3777155303
25516,2022-04-27 10:30:00,1898.343,1903.448,1896.613,1897.568,3405349.97,2678677.4289661665
25517,2022-04-27 11:30:00,1897.568,1897.898,1886.468,1893.368,3260780.096,2584703.1086003873
25518,2022-04-27 12:30:00,1893.358,1898.158,1893.168,1895.06,2483939.886,2053864.2893053498
25519,2022-04-27 13:30:00,1895.06,1897.983,1893.928,1897.518,2011840.105,1791010.3878204622
25520,2022-04-27 14:30:00,1897.518,1901.288,1895.818,1900.288,2929680.109,2306468.5562408767
25521,2022-04-27 15:30:00,1900.221,1906.898,1895.688,1896.323,4201769.829,3420206.433432632
25522,2022-04-27 16:30:00,1896.323,1897.258,1881.538,1887.993,5614339.829,4406986.388678372
25523,2022-04-27 17:30:00,1887.941,1890.588,1884.943,1885.358,5079269.886,4634106.589778878
25524,2022-04-27 18:30:00,1885.348,1886.595,1881.248,1884.868,4020050.049,4080166.3748312597
25525,2022-04-27 19:30:00,1884.878,1889.393,1884.758,1887.438,2797800.064,3262233.756434535
25526,2022-04-27 20:30:00,1887.433,1891.438,1886.578,1891.018,2546070.099,2688542.5218123314
25527,2022-04-27 21:30:00,1891.013,1891.253,1886.168,1886.488,2126600.027,2403707.46887186
25528,2022-04-27 22:30:00,1886.488,1887.928,1885.038,1886.363,3591109.991,2065070.9255189088
25529,2022-04-27 23:30:00,1886.306,1886.306,1884.768,1885.748,1007290.006,1428527.8886860688
25530,2022-04-28 01:30:00,1885.213,1886.063,1883.978,1884.768,480800.0028,394925.09360361216
25531,2022-04-28 02:30:00,1884.778,1886.118,1883.081,1885.513,641380.012,763128.001834346
25532,2022-04-28 03:30:00,1885.493,1886.658,1883.478,1883.748,868229.9852,1505146.3441118037
25533,2022-04-28 04:30:00,1883.798,1884.338,1881.398,1882.508,1795510.054,1979774.703224634
25534,2022-04-28 05:30:00,1882.508,1884.338,1880.658,1882.798,1240249.991,1806660.5409696328
25535,2022-04-28 06:30:00,1882.798,1882.948,1877.498,1878.828,2412300.11,1240494.8741657413
25536,2022-04-28 07:30:00,1878.818,1879.188,1875.608,1878.168,1501019.955,933611.3328245657
25537,2022-04-28 08:30:00,1878.188,1878.363,1871.938,1873.688,2107860.088,1300716.4127694485
25538,2022-04-28 09:30:00,1873.698,1882.538,1873.448,1882.153,2843219.996,2104864.188440852
25539,2022-04-28 10:30:00,1882.153,1886.618,1881.043,1884.888,3046200.037,2680368.239679534
25540,2022-04-28 11:30:00,1884.888,1889.898,1879.858,1886.143,2833319.902,2586393.9192992207
25541,2022-04-28 12:30:00,1886.153,1891.658,1885.818,1889.558,2709379.911,2055555.100034108
25542,2022-04-28 13:30:00,1889.558,1890.008,1885.313,1888.633,2745820.046,1792701.1985264448
25543,2022-04-28 14:30:00,1888.633,1890.613,1885.238,1886.103,2534149.885,2308159.36696631
25544,2022-04-28 15:30:00,1886.038,1895.248,1881.823,1885.448,5155729.771,3421897.244094411
25545,2022-04-28 16:30:00,1885.448,1892.963,1883.883,1890.225,5276949.883,4408677.199402304
25546,2022-04-28 17:30:00,1890.318,1890.818,1883.088,1886.748,4994029.999,4635797.400487393
25547,2022-04-28 18:30:00,1886.748,1890.498,1885.738,1885.868,2807569.981,4081857.1855706004
25548,2022-04-28 19:30:00,1885.968,1890.023,1884.668,1888.563,1997009.993,3263924.5671721864
25549,2022-04-28 20:30:00,1888.563,1891.573,1887.603,1888.783,2617870.092,2690233.3325095507
25550,2022-04-28 21:30:00,1888.783,1892.558,1888.783,1892.438,1969939.947,2405398.2795897275
25551,2022-04-28 22:30:00,1892.418,1896.608,1892.338,1895.888,1980610.013,2066761.7362460229
25552,2022-04-28 23:30:00,1895.888,1896.188,1893.638,1894.228,941810.0119,1430218.699423899
25553,2022-04-29 01:30:00,1894.138,1895.318,1892.758,1892.768,397379.9944,396615.9043107359
25554,2022-04-29 02:30:00,1892.808,1895.563,1892.468,1895.428,634370.029,764818.8125171282
