Time,Open,High,Low,Close,Volume,VolumeForecast
2022-04-28 07:30:00+03:30,1878.818,1879.188,1875.608,1878.168,1501019.955,1702092.6
2022-04-28 08:30:00+03:30,1878.188,1878.363,1871.938,1873.688,2107860.088,1581553.0
2022-04-28 09:30:00+03:30,1873.698,1882.538,1873.448,1882.153,2843219.996,2318871.2
2022-04-28 10:30:00+03:30,1882.153,1886.618,1881.043,1884.888,3046200.037,3048640.8
2022-04-28 11:30:00+03:30,1884.888,1889.898,1879.858,1886.143,2833319.902,2952753.5
2022-04-28 12:30:00+03:30,1886.153,1891.658,1885.818,1889.558,2709379.911,2700223.8
2022-04-28 13:30:00+03:30,1889.558,1890.008,1885.313,1888.633,2745820.046,2517159.5
2022-04-28 14:30:00+03:30,1888.633,1890.613,1885.238,1886.103,2534149.885,2714349.5
2022-04-28 15:30:00+03:30,1886.038,1895.248,1881.823,1885.448,5155729.771,3761521.2
2022-04-28 16:30:00+03:30,1885.448,1892.963,1883.883,1890.225,5276949.883,6453972.0
2022-04-28 17:30:00+03:30,1890.318,1890.818,1883.088,1886.748,4994029.999,5903459.5
2022-04-28 18:30:00+03:30,1886.748,1890.498,1885.738,1885.868,2807569.981,4484303.5
2022-04-28 19:30:00+03:30,1885.968,1890.023,1884.668,1888.563,1997009.993,2274325.5
2022-04-28 20:30:00+03:30,1888.563,1891.573,1887.603,1888.783,2617870.092,1912752.8
2022-04-28 21:30:00+03:30,1888.783,1892.558,1888.783,1892.438,1969939.947,2215652.0
2022-04-28 22:30:00+03:30,1892.418,1896.608,1892.338,1895.888,1980610.013,1888542.8
2022-04-28 23:30:00+03:30,1895.888,1896.188,1893.638,1894.228,941810.0119,702427.3
2022-04-29 01:30:00+03:30,1894.138,1895.318,1892.758,1892.768,397379.9944,957544.44
2022-04-29 02:30:00+03:30,1892.808,1895.563,1892.468,1895.428,634370.029,850848.94
2022-04-29 03:30:00+03:30,1895.418,1897.898,1894.888,1897.163,959879.9944,1420560.8
2022-04-29 04:30:00+03:30,1897.163,1905.738,1896.523,1902.378,2197350.025,1868339.2
2022-04-29 05:30:00+03:30,1902.388,1904.488,1898.458,1900.643,2026870.012,1687875.9
2022-04-29 06:30:00+03:30,1900.653,1904.248,1900.138,1904.228,2160559.893,1573520.6
2022-04-29 07:30:00+03:30,1904.228,1905.853,1903.353,1905.763,1004009.962,1727134.1
2022-04-29 08:30:00+03:30,1905.753,1908.238,1905.368,1906.798,2083590.031,1496333.1
2022-04-29 09:30:00+03:30,1906.798,1912.753,1906.118,1911.403,2918920.04,2461564.0
2022-04-29 10:30:00+03:30,1911.403,1917.788,1909.948,1917.145,3390269.995,3057403.2
2022-04-29 11:30:00+03:30,1917.145,1917.313,1912.818,1913.833,2707870.007,2988896.5
2022-04-29 12:30:00+03:30,1913.843,1916.853,1913.088,1914.658,2454999.924,2625829.2
2022-04-29 13:30:00+03:30,1914.618,1917.673,1914.428,1914.923,2344069.958,2288090.8
2022-04-29 14:30:00+03:30,1914.943,1919.838,1914.043,1919.418,2500080.109,2650423.0
2022-04-29 15:30:00+03:30,1919.418,1919.705,1907.408,1910.815,4388370.037,4058202.2
2022-04-29 16:30:00+03:30,1910.815,1913.458,1902.428,1910.715,4776559.83,5808556.5
2022-04-29 17:30:00+03:30,1910.679,1914.513,1907.703,1911.213,4626229.763,5091388.5
2022-04-29 18:30:00+03:30,1911.293,1913.273,1904.125,1909.523,3550329.924,3709892.0
2022-04-29 19:30:00+03:30,1909.523,1909.593,1906.553,1908.128,2270420.075,2568797.2
2022-04-29 20:30:00+03:30,1908.168,1911.523,1907.183,1909.863,2334800.005,2020206.1
2022-04-29 21:30:00+03:30,1909.863,1911.363,1907.433,1908.023,2115010.023,2027215.0
2022-04-29 22:30:00+03:30,1908.043,1908.103,1894.373,1896.518,3866080.046,1981001.6
2022-04-29 23:30:00+03:30,1896.448,1897.613,1895.263,1895.748,876800.0007,1534126.2
2022-05-02 01:30:00+03:30,1895.635,1899.633,1895.338,1897.968,1127635.002,995857.56
2022-05-02 02:30:00+03:30,1897.958,1899.788,1896.948,1897.118,1198289.99,1125132.0
2022-05-02 03:30:00+03:30,1897.118,1898.373,1888.863,1890.378,2419480.085,1716426.1
2022-05-02 04:30:00+03:30,1890.528,1892.488,1889.758,1889.978,1903640.032,2892219.0
2022-05-02 05:30:00+03:30,1889.978,1891.663,1884.368,1887.673,1781909.943,1774580.0
2022-05-02 06:30:00+03:30,1887.658,1889.318,1886.583,1888.448,1236330.032,1489473.5
2022-05-02 07:30:00+03:30,1888.428,1888.438,1883.763,1885.468,1432710.052,1336431.0
2022-05-02 08:30:00+03:30,1885.468,1887.013,1882.623,1885.708,1469689.965,1795617.4
2022-05-02 09:30:00+03:30,1885.688,1887.658,1883.043,1887.058,1986729.98,2170349.8
2022-05-02 10:30:00+03:30,1887.058,1887.283,1883.017,1884.147,2026819.944,2453207.5
2022-05-02 11:30:00+03:30,1884.137,1885.398,1879.328,1879.768,2305949.926,2178693.8
2022-05-02 12:30:00+03:30,1879.768,1881.208,1876.708,1880.673,1778859.973,2098712.8
2022-05-02 13:30:00+03:30,1880.638,1882.193,1877.128,1881.983,1908040.047,1760199.5
2022-05-02 14:30:00+03:30,1882.003,1882.218,1875.713,1876.013,2147219.896,2116925.5
2022-05-02 15:30:00+03:30,1875.939,1876.598,1860.453,1861.498,4413000.107,3393067.8
2022-05-02 16:30:00+03:30,1861.498,1864.398,1854.468,1857.938,5379509.926,5253392.5
2022-05-02 17:30:00+03:30,1857.915,1864.908,1857.688,1862.694,5024030.209,5188693.5
2022-05-02 18:30:00+03:30,1862.694,1872.013,1859.746,1869.994,3781709.909,3996599.2
2022-05-02 19:30:00+03:30,1869.998,1870.128,1864.948,1865.978,2928260.088,2793088.5
2022-05-02 20:30:00+03:30,1865.978,1866.818,1861.608,1866.125,2166249.991,2514247.5
2022-05-02 21:30:00+03:30,1866.198,1866.538,1859.808,1859.878,2212739.945,2042628.4
2022-05-02 22:30:00+03:30,1859.922,1863.943,1859.838,1861.668,2555439.949,1992857.1
2022-05-02 23:30:00+03:30,1861.598,1863.113,1861.173,1862.638,678560.0185,1010685.7
2022-05-03 01:30:00+03:30,1862.333,1864.213,1862.333,1863.633,343030.0057,948121.3
2022-05-03 02:30:00+03:30,1863.593,1863.623,1862.178,1863.098,447820.0078,810505.94
2022-05-03 03:30:00+03:30,1863.098,1866.998,1863.078,1866.718,1355919.957,1359809.5
2022-05-03 04:30:00+03:30,1866.688,1866.688,1859.578,1859.888,1255339.98,2017056.4
2022-05-03 05:30:00+03:30,1859.888,1865.288,1859.698,1865.143,1020220.041,1141748.4
2022-05-03 06:30:00+03:30,1865.163,1865.213,1862.183,1862.493,940180.0036,848772.06
2022-05-03 07:30:00+03:30,1862.468,1864.468,1857.668,1858.348,1364480.019,945418.7
2022-05-03 08:30:00+03:30,1858.348,1860.373,1857.333,1859.478,1371180.058,1526005.9
2022-05-03 09:30:00+03:30,1859.458,1862.038,1856.508,1858.798,2055550.098,1813979.6
2022-05-03 10:30:00+03:30,1858.768,1860.748,1853.318,1855.523,3323430.061,2185725.5
2022-05-03 11:30:00+03:30,1855.523,1856.548,1850.308,1853.608,2100519.896,2588243.8
2022-05-03 12:30:00+03:30,1853.598,1859.646,1853.498,1857.528,2037029.982,2080093.5
2022-05-03 13:30:00+03:30,1857.518,1860.873,1854.917,1858.438,2096580.029,1984686.1
2022-05-03 14:30:00+03:30,1858.458,1863.858,1858.413,1863.788,2408600.092,2299403.2
2022-05-03 15:30:00+03:30,1863.738,1865.478,1856.692,1863.228,3312969.923,3794613.0
2022-05-03 16:30:00+03:30,1863.186,1872.258,1861.904,1871.019,4066639.9,4766655.0
2022-05-03 17:30:00+03:30,1870.96,1877.998,1866.497,1874.248,4175330.162,4566854.5
2022-05-03 18:30:00+03:30,1874.248,1877.408,1870.868,1871.528,3594069.958,3604141.5
2022-05-03 19:30:00+03:30,1871.496,1872.393,1867.268,1869.698,2211289.883,2691109.8
2022-05-03 20:30:00+03:30,1869.698,1871.763,1868.908,1871.168,1616600.037,2041772.5
2022-05-03 21:30:00+03:30,1871.128,1871.133,1865.593,1869.238,2082070.112,1644650.8
2022-05-03 22:30:00+03:30,1869.238,1869.858,1865.173,1866.028,1842749.953,1830368.8
2022-05-03 23:30:00+03:30,1866.028,1868.253,1865.598,1867.848,725979.9838,747094.2
2022-05-04 01:30:00+03:30,1867.838,1868.943,1867.128,1868.703,425823.9865,730017.3
2022-05-04 02:30:00+03:30,1868.703,1869.328,1866.948,1868.278,681540.0124,733768.56
2022-05-04 03:30:00+03:30,1868.278,1868.298,1864.838,1865.898,848450.0051,1318320.9
2022-05-04 04:30:00+03:30,1865.878,1865.958,1862.368,1862.643,1124289.99,1492049.8
2022-05-04 05:30:00+03:30,1862.663,1864.868,1861.533,1863.405,849500.0005,1038346.2
2022-05-04 06:30:00+03:30,1863.405,1865.608,1863.098,1864.578,751869.9765,799112.56
2022-05-04 07:30:00+03:30,1864.538,1866.118,1863.223,1865.548,560469.985,869565.44
2022-05-04 08:30:00+03:30,1865.558,1865.938,1862.328,1863.798,849049.9854,1023383.06
2022-05-04 09:30:00+03:30,1863.778,1866.598,1861.298,1866.578,1421164.99,1436273.6
2022-05-04 10:30:00+03:30,1866.578,1871.788,1865.928,1870.698,2091000.08,1821960.2
2022-05-04 11:30:00+03:30,1870.698,1872.008,1868.088,1868.463,1966930.032,1949628.0
2022-05-04 12:30:00+03:30,1868.453,1870.553,1866.828,1869.738,1526039.958,1800910.9
2022-05-04 13:30:00+03:30,1869.728,1871.666,1866.663,1867.013,1402889.967,1500157.0
2022-05-04 14:30:00+03:30,1867.033,1869.888,1865.848,1868.778,1191669.941,1596290.8
2022-05-04 15:30:00+03:30,1868.778,1869.478,1863.628,1867.428,2972490.072,2488935.0
2022-05-04 16:30:00+03:30,1867.443,1870.758,1861.538,1862.727,3612200.022,4074439.8
2022-05-04 17:30:00+03:30,1862.608,1866.958,1861.548,1866.638,3445410.013,4087086.2
2022-05-04 18:30:00+03:30,1866.558,1869.078,1865.828,1868.508,2676399.946,3066736.2
2022-05-04 19:30:00+03:30,1868.508,1868.828,1865.858,1868.438,2348309.994,1975756.0
2022-05-04 20:30:00+03:30,1868.538,1869.648,1865.848,1866.698,2512979.984,1994201.5
2022-05-04 21:30:00+03:30,1866.698,1888.723,1861.688,1885.858,6927320.004,2311629.5
2022-05-04 22:30:00+03:30,1885.878,1889.663,1881.318,1883.968,5574923.992,5206843.0
2022-05-04 23:30:00+03:30,1883.778,1886.518,1880.508,1880.568,861509.9788,3152794.8
2022-05-05 01:30:00+03:30,1881.298,1883.948,1881.298,1882.678,635969.9965,1001219.2
2022-05-05 02:30:00+03:30,1882.638,1893.998,1882.593,1893.814,1098670.006,844905.94
2022-05-05 03:30:00+03:30,1893.814,1895.988,1892.888,1895.708,1562280.059,1386545.0
2022-05-05 04:30:00+03:30,1895.708,1903.263,1895.708,1900.448,3166320.086,1985860.5
2022-05-05 05:30:00+03:30,1900.498,1901.488,1899.183,1899.528,2074690.104,1771191.2
2022-05-05 06:30:00+03:30,1899.508,1902.658,1899.238,1901.103,1734179.974,1195375.6
2022-05-05 07:30:00+03:30,1901.108,1901.558,1899.573,1901.378,1134750.009,1389057.9
2022-05-05 08:30:00+03:30,1901.398,1902.118,1898.668,1898.868,1445729.971,1596412.8
2022-05-05 09:30:00+03:30,1898.883,1902.118,1897.388,1897.543,2501640.081,2267135.8
2022-05-05 10:30:00+03:30,1897.653,1898.238,1891.633,1894.943,3212340.117,2801433.8
2022-05-05 11:30:00+03:30,1894.878,1895.208,1889.383,1894.163,3072210.074,2618482.8
2022-05-05 12:30:00+03:30,1894.163,1898.653,1893.098,1897.318,2385440.111,2528982.0
2022-05-05 13:30:00+03:30,1897.318,1899.228,1895.048,1896.338,2084110.022,2149244.8
2022-05-05 14:30:00+03:30,1896.338,1900.168,1895.288,1897.283,3846590.042,2265840.2
2022-05-05 15:30:00+03:30,1897.198,1909.633,1897.078,1906.798,4302529.812,4357947.0
2022-05-05 16:30:00+03:30,1906.813,1908.388,1892.852,1894.838,5677629.948,5662473.0
2022-05-05 17:30:00+03:30,1894.858,1895.178,1882.678,1886.068,5433934.212,5802973.0
2022-05-05 18:30:00+03:30,1886.078,1886.148,1874.248,1875.015,4854169.846,4547986.5
2022-05-05 19:30:00+03:30,1875.015,1877.178,1872.358,1876.368,3489876.986,3502589.0
2022-05-05 20:30:00+03:30,1876.368,1880.098,1873.223,1874.613,3170180.082,2907332.0
2022-05-05 21:30:00+03:30,1874.588,1877.958,1873.178,1877.433,2634599.924,2619860.8
2022-05-05 22:30:00+03:30,1877.418,1880.935,1876.583,1877.805,3140049.934,2429975.5
2022-05-05 23:30:00+03:30,1877.908,1879.218,1876.508,1876.788,977859.9739,1007028.06
2022-05-06 01:30:00+03:30,1876.028,1878.098,1875.938,1877.838,530319.9887,1066087.4
2022-05-06 02:30:00+03:30,1877.838,1877.838,1873.903,1874.078,779850.0061,860477.8
2022-05-06 03:30:00+03:30,1874.063,1876.568,1871.618,1872.258,1645589.948,1468648.8
2022-05-06 04:30:00+03:30,1872.298,1872.758,1866.001,1869.958,2989190.102,2560766.0
2022-05-06 05:30:00+03:30,1869.958,1875.953,1868.738,1875.498,2063250.065,2088614.6
2022-05-06 06:30:00+03:30,1875.498,1877.308,1875.184,1876.794,1349750.042,1574762.1
2022-05-06 07:30:00+03:30,1876.806,1877.268,1875.674,1875.915,940439.9991,1254043.9
