Open_imp,High_imp,Low_imp,Close_imp,Volume_imp,step_1_imp,step_2_imp,step_3_imp,step_4_imp,step_5_imp,step_6_imp,step_7_imp,step_8_imp,step_9_imp,step_10_imp,step_11_imp,step_12_imp,step_13_imp,step_14_imp,step_15_imp,step_16_imp,step_17_imp,step_18_imp,step_19_imp,step_20_imp,step_21_imp,step_22_imp,step_23_imp,step_24_imp
0.19931115,0.24973138,0.11759576,0.18695769,0.24640404,0.015631296,0.042032216,0.037874773,0.06193297,0.03232088,0.048086997,0.040758878,0.048265327,0.027107902,0.03012426,0.037142705,0.025578283,0.040530667,0.038297255,0.051383074,0.04542844,0.057887614,0.04541147,0.04605533,0.05162347,0.048948575,0.050651133,0.045344915,0.031581614
0.22528408,0.19515069,0.17119984,0.1924123,0.21595314,0.04972957,0.03665439,0.023955775,0.068947345,0.021624342,0.048040744,0.06314019,0.04080313,0.04180937,0.038915478,0.058599222,0.025783136,0.055973034,0.03054227,0.04881441,0.04302296,0.041901875,0.019254185,0.06335056,0.05358105,0.013968535,0.021899173,0.055352233,0.03433704
0.23130488,0.2048288,0.21439703,0.15836032,0.191109,0.058074288,0.07312463,0.037123755,0.03438317,0.034046546,0.046292745,0.025750007,0.07180405,0.0480933,0.04883784,0.021826796,0.027782138,0.01656606,0.014510657,0.037479967,0.036223043,0.015531063,0.049771577,0.070178874,0.05466783,0.038799442,0.062356036,0.030829025,0.045947194
0.2100163,0.12085922,0.18499303,0.19959545,0.284536,0.050477624,0.08858147,0.032050863,0.03715739,0.026819928,0.035963476,0.033397954,0.043485813,0.016669102,0.033537228,0.042006493,0.026229614,0.047702715,0.024769917,0.058107276,0.026108533,0.032065842,0.047296423,0.046875462,0.0192068,0.036907975,0.041933015,0.05630602,0.09634306
0.20965244,0.18471622,0.15221563,0.14499967,0.30841607,0.06051332,0.023723517,0.032203544,0.029506255,0.02519003,0.064809345,0.026446374,0.06269849,0.04070044,0.035201464,0.05561398,0.045502886,0.033010732,0.017893888,0.03271316,0.06181695,0.06866722,0.024662295,0.025555352,0.027951267,0.021561705,0.022770835,0.067189574,0.09409739
0.23503613,0.15123215,0.1978603,0.16369611,0.25217524,0.03422685,0.055612333,0.027521465,0.042565472,0.046339616,0.041557502,0.04815905,0.037703667,0.060625684,0.041215867,0.030795006,0.049632974,0.043540385,0.033068992,0.03795313,0.0380427,0.037935812,0.02158903,0.033300683,0.026383944,0.030153811,0.020659316,0.046450857,0.11496585
0.18943301,0.2569752,0.11642711,0.18939064,0.24777405,0.034155346,0.031354416,0.04238437,0.05351671,0.019666806,0.019368306,0.06488807,0.030998174,0.04677722,0.044745557,0.05543405,0.04520421,0.032959934,0.037336916,0.027673455,0.03965633,0.060313873,0.017938849,0.036533594,0.026443115,0.028988885,0.04683144,0.049785674,0.10704477
0.19679356,0.17685312,0.18692741,0.14981426,0.2896116,0.035290785,0.04343485,0.03266546,0.032442734,0.033121683,0.043628946,0.016258825,0.044924155,0.023267612,0.05194408,0.050211262,0.032141007,0.044191465,0.0316896,0.041569255,0.0569651,0.035440743,0.042878866,0.028789975,0.04795179,0.04703282,0.015361533,0.02800818,0.14078926
0.16657194,0.17972992,0.15372778,0.19821176,0.30175856,0.048495185,0.061941784,0.047903657,0.034736976,0.019343168,0.028526764,0.015377995,0.04889135,0.045128822,0.03993399,0.033052843,0.04253138,0.054477897,0.044942204,0.060177393,0.0420305,0.045168895,0.054049782,0.027448993,0.031876694,0.039304163,0.024910826,0.019964237,0.08978451
0.18869244,0.17671722,0.20848984,0.16891961,0.2571809,0.060113285,0.045832764,0.013021143,0.025224445,0.024600029,0.04438917,0.050348356,0.029222563,0.053696886,0.02744072,0.028848004,0.044252593,0.037813578,0.02781719,0.04869126,0.031471077,0.030873584,0.0530099,0.023991019,0.053740684,0.043324597,0.02451153,0.04511123,0.13265435
0.16735622,0.18511136,0.13359378,0.20251325,0.3114254,0.049551714,0.06439277,0.04465464,0.041620295,0.022314552,0.030474924,0.027300186,0.03326548,0.022610402,0.033249125,0.042038437,0.03996083,0.051437344,0.03122967,0.037646003,0.03130306,0.034155212,0.037318792,0.030713039,0.031463906,0.04738861,0.053022064,0.05073238,0.11215663
0.17564888,0.14415792,0.20364793,0.18752676,0.2890186,0.062678605,0.03743829,0.046933316,0.033577513,0.012619383,0.044465058,0.02867705,0.03033208,0.06437084,0.033517394,0.019397093,0.034807034,0.037153848,0.063094534,0.013956046,0.06282948,0.04778866,0.022962557,0.024097249,0.055726,0.03298445,0.039943412,0.03961715,0.11103306
0.19976504,0.13603148,0.2200361,0.16059925,0.28356805,0.06306665,0.07845556,0.04093264,0.04901411,0.041155964,0.036617685,0.035459623,0.036791597,0.02339457,0.023410559,0.025451608,0.038348265,0.062166236,0.031269856,0.048679776,0.03720037,0.054678448,0.02335656,0.027456695,0.03336924,0.06472225,0.027246974,0.02168662,0.07606816
0.16476174,0.23237884,0.2136308,0.15668625,0.23254238,0.032254968,0.030909961,0.0363719,0.03132421,0.05106544,0.031955343,0.033609618,0.05499837,0.031105416,0.05052102,0.025324753,0.028532702,0.07151308,0.032819413,0.027384443,0.049849205,0.03869679,0.04804127,0.06707248,0.051346924,0.04911039,0.03225318,0.038575817,0.055363283
0.18058681,0.15495026,0.20256041,0.15468062,0.30722183,0.05509737,0.04571898,0.064561956,0.016169803,0.0460044,0.019638417,0.019899605,0.0214426,0.023940662,0.02877517,0.054482386,0.036017366,0.07121996,0.04595568,0.030820573,0.046267606,0.0335154,0.05888813,0.045259904,0.022854649,0.027430112,0.044374544,0.043111503,0.09855323
0.20987563,0.21136801,0.20045543,0.21310782,0.16519319,0.027848167,0.042548094,0.055742763,0.06547318,0.02809314,0.037810117,0.056220762,0.06491724,0.016357327,0.026556987,0.031272024,0.056866623,0.025110133,0.05912109,0.041862622,0.035631265,0.027589582,0.02480753,0.033152018,0.055103987,0.038514487,0.042686332,0.08170631,0.02500828
0.16818632,0.1397178,0.25947335,0.22014394,0.2124785,0.05125197,0.0414216,0.05256854,0.037945725,0.023676187,0.026814915,0.030851917,0.030369613,0.04592794,0.03762661,0.032707404,0.06906074,0.051194236,0.04802569,0.053429235,0.036725644,0.05490569,0.022296175,0.058475316,0.05449941,0.038775638,0.03162069,0.05020468,0.019624462
0.20265403,0.20643461,0.20585327,0.19919409,0.18586396,0.04087284,0.050175942,0.037426237,0.029240424,0.023623236,0.039945904,0.035397265,0.067812055,0.015084223,0.035996117,0.04345812,0.035162896,0.03271541,0.047475193,0.045227516,0.028860837,0.05278252,0.049822032,0.057570998,0.06625148,0.039253287,0.020047063,0.048288547,0.05750986
0.1962335,0.19340381,0.17541274,0.20666242,0.22828752,0.0485389,0.06514484,0.041815292,0.022028964,0.036596462,0.029057669,0.054766778,0.026419615,0.044009022,0.051569168,0.016930113,0.048210707,0.022737803,0.020768948,0.054883014,0.04569712,0.02121208,0.026434043,0.054434482,0.054691445,0.023690786,0.04139477,0.07701089,0.0719571
0.20448406,0.22014293,0.19149595,0.19589992,0.1879771,0.05485987,0.031766873,0.022743838,0.045010652,0.04745593,0.040114295,0.054676868,0.06300195,0.035913553,0.06274546,0.03193552,0.036362574,0.028119547,0.044951435,0.05325442,0.04519116,0.026374675,0.04817045,0.019595074,0.033913694,0.051654838,0.043357756,0.017121242,0.061708372
0.21034798,0.21034537,0.17644618,0.21026392,0.19259663,0.024821168,0.035825457,0.031596597,0.05544618,0.03111663,0.04347384,0.043490663,0.033597466,0.067966186,0.042698327,0.019559015,0.04851621,0.029109564,0.07611868,0.038611155,0.059520636,0.044681475,0.024350781,0.05314535,0.024923781,0.023022182,0.051105868,0.035952702,0.061350055
0.20433268,0.17624773,0.21272114,0.16876033,0.23793814,0.0322708,0.066362575,0.02452443,0.014114002,0.06042821,0.055750165,0.06584635,0.04769631,0.04155697,0.0286576,0.026975475,0.037861377,0.059936553,0.04014287,0.041258667,0.037830673,0.044060983,0.042429768,0.043719493,0.041461907,0.02868629,0.04169201,0.039986484,0.036750037
0.22124927,0.18259098,0.203399,0.1789973,0.21376342,0.06504454,0.024241937,0.038588643,0.032209538,0.03133554,0.055457238,0.033770654,0.07228089,0.0595416,0.06479092,0.04022713,0.0470062,0.049612362,0.026042195,0.044763822,0.032888923,0.029170377,0.071276136,0.02274636,0.052253637,0.03656592,0.021530684,0.033391763,0.015263021
0.19974619,0.14180157,0.24500583,0.20166068,0.21178569,0.025928665,0.047823574,0.02963073,0.019036725,0.06502068,0.05869045,0.030749824,0.044621736,0.054236647,0.037453838,0.03529123,0.048695702,0.046096645,0.04635999,0.042520046,0.027944665,0.043531008,0.03710939,0.041824106,0.027020892,0.047832455,0.04062645,0.048101608,0.053853035
0.2542816,0.23203537,0.17488731,0.17112166,0.16767402,0.033970736,0.03968004,0.05492171,0.030156884,0.0537911,0.028993571,0.027939808,0.04553805,0.04075397,0.046300407,0.038521312,0.054678988,0.027065558,0.027891945,0.029491503,0.021377565,0.061506715,0.05855479,0.048694253,0.047538202,0.04882512,0.046475135,0.035036255,0.052296396
0.21961306,0.18051507,0.22795942,0.1907962,0.18111624,0.03834898,0.044591583,0.044004764,0.05469859,0.031409223,0.034883194,0.052321624,0.031398088,0.07463309,0.035764597,0.03133986,0.052733894,0.043268874,0.037203256,0.055434097,0.043011516,0.050022215,0.025230052,0.04273593,0.03596532,0.026422035,0.043507516,0.038888145,0.03218348
0.205801,0.1853816,0.12942706,0.14421956,0.33517078,0.027839566,0.072803706,0.06800537,0.052922904,0.026225058,0.02444223,0.01933008,0.021456873,0.017213797,0.052564017,0.050190605,0.06405744,0.03574538,0.04793925,0.04164235,0.050597776,0.01289065,0.06220526,0.03755418,0.023042697,0.049796145,0.0345363,0.03239843,0.07459994
0.20390823,0.20096162,0.19156367,0.14707784,0.25648865,0.043156784,0.0638273,0.052831464,0.027203752,0.02988478,0.026011877,0.036751494,0.014028842,0.03283194,0.04507708,0.024974955,0.03815928,0.035161283,0.03852878,0.038823,0.022549612,0.029502274,0.06046997,0.05195615,0.039188374,0.050514806,0.060629446,0.0323943,0.10554245
0.17163795,0.21091683,0.19968198,0.13545533,0.28230792,0.04979692,0.047483277,0.043360975,0.04554094,0.028608365,0.03183543,0.054858964,0.033878107,0.041168656,0.04780508,0.051916838,0.018962758,0.015745366,0.05758581,0.020759257,0.05669617,0.02801613,0.030055515,0.025520308,0.086530566,0.013439245,0.030832378,0.046984944,0.09261798
0.22646455,0.19416879,0.20348786,0.1600802,0.2157986,0.055034976,0.074957445,0.036101032,0.030941911,0.051803794,0.0496382,0.042323302,0.009026557,0.046638057,0.051521692,0.023666237,0.047954608,0.051237926,0.031037506,0.036776055,0.022937868,0.014138563,0.06492957,0.042423386,0.043382525,0.0356846,0.048814345,0.05004508,0.038984735
0.21160287,0.16067296,0.2550947,0.16554573,0.20708378,0.04933839,0.049681943,0.03460695,0.06968535,0.093502,0.034682844,0.01814475,0.016958931,0.048607443,0.031096559,0.029300014,0.068057746,0.019750541,0.052056305,0.049372017,0.04358937,0.047166426,0.037690423,0.05540985,0.017948281,0.03300395,0.024063298,0.021431962,0.054854725
0.2119253,0.19073206,0.13884185,0.20686558,0.25163522,0.054961324,0.04244491,0.06990142,0.040479768,0.04924465,0.042596612,0.038970668,0.034547836,0.03760005,0.048872918,0.029545352,0.026097,0.038314033,0.05662601,0.040082425,0.026843973,0.035442922,0.04702085,0.03161816,0.02303436,0.03951351,0.021619014,0.06272885,0.06189343
0.16037175,0.11960367,0.17183445,0.19513468,0.35305548,0.071969844,0.063117154,0.029306553,0.061921716,0.04019626,0.042090807,0.041877884,0.04692408,0.02365636,0.058409538,0.023604034,0.029257417,0.030682081,0.04121371,0.018401684,0.033146657,0.026822586,0.025067769,0.028862696,0.03257685,0.0399992,0.056958877,0.016255084,0.117681116
0.14603363,0.19696163,0.18817207,0.22425105,0.24458167,0.044806946,0.09736374,0.03652223,0.019826036,0.029425338,0.02040675,0.042382803,0.030203506,0.035614867,0.05412137,0.03275141,0.036416393,0.059703507,0.043489307,0.034935065,0.029716942,0.021331236,0.051402595,0.018800355,0.043379854,0.058360983,0.025975978,0.033086676,0.09997615
0.14467129,0.20163032,0.18130855,0.16688293,0.3055069,0.045645043,0.054191303,0.022425972,0.034311023,0.015409023,0.020807574,0.06599975,0.031738922,0.02330442,0.02188322,0.047989484,0.04441613,0.0434547,0.049677406,0.0325529,0.062597394,0.044695284,0.03042217,0.041702,0.037887868,0.029982794,0.021810828,0.059320476,0.117774315
0.231285,0.17806865,0.19614537,0.16738938,0.22711158,0.058460027,0.045577027,0.04019324,0.03806453,0.043580703,0.061287995,0.03435728,0.04153004,0.024363492,0.02316647,0.031409647,0.038554266,0.054801956,0.039625432,0.033871353,0.05990128,0.028051931,0.03689754,0.021831084,0.028764898,0.031044075,0.061703727,0.01959169,0.1033704
0.14081164,0.21956648,0.18047193,0.1913782,0.2677718,0.03730841,0.051897407,0.044607002,0.026090218,0.06061467,0.041636772,0.04372253,0.03522336,0.039659865,0.029920092,0.06728475,0.050081737,0.031691816,0.04469662,0.035828035,0.034632664,0.026010063,0.020734586,0.03857551,0.043536063,0.05205756,0.053241536,0.06134836,0.02960041
