Time,Open,High,Low,Close,Volume,VolumeForecast,VolumeForecast_Min,VolumeForecast_Max,VolumeForecast_Var,Uncertainty_Percentage
2022-04-28 07:30:00+03:30,1878.818,1879.188,1875.608,1878.168,1501019.955,1622616.342950259,1068288.0043399998,2399309.5,124814473990.43863,1764682.6489095232
2022-04-28 08:30:00+03:30,1878.188,1878.363,1871.938,1873.688,2107860.088,1591815.0400827648,1438418.6,1783771.2,17603112524.197887,253676.79030862887
2022-04-28 09:30:00+03:30,1873.698,1882.538,1873.448,1882.153,2843219.996,2559163.3355220864,2200740.2,2815217.0,36958813520.355545,331293.7241453283
2022-04-28 10:30:00+03:30,1882.153,1886.618,1881.043,1884.888,3046200.037,3053940.8384011164,2747392.5,3338516.5,33441452224.19926,251193.30627756935
2022-04-28 11:30:00+03:30,1884.888,1889.898,1879.858,1886.143,2833319.902,2929570.958019307,2664092.0162,3103129.2,16507112056.069473,129244.87457824864
2022-04-28 12:30:00+03:30,1886.153,1891.658,1885.818,1889.558,2709379.911,2616323.479684762,2437475.9914,2800347.2,13630974260.038317,119502.03015144927
2022-04-28 13:30:00+03:30,1889.558,1890.008,1885.313,1888.633,2745820.046,2542207.0966646974,2397523.9754,2701940.0,9975028956.599823,89994.44535411512
2022-04-28 14:30:00+03:30,1888.633,1890.613,1885.238,1886.103,2534149.885,3016079.674735806,2682955.9804,3445966.0,55530518542.95233,422365.5496606218
2022-04-28 15:30:00+03:30,1886.038,1895.248,1881.823,1885.448,5155729.771,3838304.173103528,2524635.5,4266593.5,244223131963.6983,1459700.879345583
2022-04-28 16:30:00+03:30,1885.448,1892.963,1883.883,1890.225,5276949.883,5715701.3017939115,4351801.0,6586180.5,516112444297.14465,2071539.500324415
2022-04-28 17:30:00+03:30,1890.318,1890.818,1883.088,1886.748,4994029.999,5490463.167024824,4445289.5,6067430.5,270154716526.16016,1128802.5624782948
2022-04-28 18:30:00+03:30,1886.748,1890.498,1885.738,1885.868,2807569.981,4165014.7737379004,3746917.0,4505687.0,44828153685.81154,246897.785565714
2022-04-28 19:30:00+03:30,1885.968,1890.023,1884.668,1888.563,1997009.993,2523836.8899602373,2145305.7900126674,3058844.8,67998047579.21779,618076.4315247316
2022-04-28 20:30:00+03:30,1888.563,1891.573,1887.603,1888.783,2617870.092,2073412.9292728265,1730377.5,2422671.8,46086986597.394455,509913.097967508
2022-04-28 21:30:00+03:30,1888.783,1892.558,1888.783,1892.438,1969939.947,2431713.106512192,1971452.0456,2790085.863865908,69788456741.5896,658384.1409416647
