Open_imp,High_imp,Low_imp,Close_imp,Volume_imp,step_1_imp,step_2_imp,step_3_imp,step_4_imp,step_5_imp,step_6_imp,step_7_imp,step_8_imp,step_9_imp,step_10_imp,step_11_imp,step_12_imp,step_13_imp,step_14_imp,step_15_imp,step_16_imp,step_17_imp,step_18_imp,step_19_imp,step_20_imp,step_21_imp,step_22_imp,step_23_imp,step_24_imp
0.17898647,0.1932039,0.2166694,0.2014895,0.20965075,0.051333535,0.041706413,0.042251315,0.04455276,0.0370658,0.04452988,0.0468647,0.037909307,0.031585425,0.03930361,0.047502786,0.036935333,0.04206653,0.05054068,0.0368157,0.043599308,0.034204684,0.042932764,0.049429577,0.026928674,0.032346155,0.045639664,0.04260367,0.051351693
0.22107123,0.18588974,0.19985498,0.20031907,0.192865,0.045379218,0.036008336,0.046134025,0.03453013,0.043183614,0.054739825,0.03239138,0.034463994,0.038477775,0.03767392,0.04207038,0.055876866,0.03563141,0.045311186,0.05367219,0.03633237,0.04260239,0.04051604,0.046268847,0.045892674,0.036192406,0.043753557,0.049387675,0.023509748
0.18851481,0.21028009,0.17749721,0.2065106,0.21719734,0.03718598,0.04397421,0.03573085,0.04470171,0.049994703,0.03888861,0.03635809,0.05197504,0.051962256,0.035264816,0.048494898,0.050586034,0.042787876,0.03307734,0.03475509,0.0447438,0.050236236,0.039263528,0.027350122,0.03736463,0.044339824,0.034221467,0.042642858,0.0441
0.18554327,0.19304356,0.1982838,0.22527446,0.19785494,0.04125045,0.03117756,0.033391822,0.044408638,0.040252633,0.050741386,0.0380042,0.04022312,0.031673137,0.041442268,0.047895305,0.04802656,0.043480583,0.043165,0.037125994,0.03755125,0.042501975,0.03882389,0.047795475,0.047283202,0.0465523,0.0399768,0.041928127,0.045328334
0.21267311,0.19959131,0.19622444,0.20894068,0.18257049,0.04692275,0.02730163,0.05142976,0.043019455,0.03899245,0.04320713,0.047317702,0.04002079,0.043256354,0.05585051,0.03553304,0.045922615,0.045725897,0.03670203,0.037367534,0.040885318,0.042866822,0.03456498,0.04648006,0.03624555,0.04459059,0.040121377,0.039492603,0.03618305
0.20757641,0.20782113,0.18464582,0.19857548,0.20138115,0.03429947,0.03009411,0.04256651,0.04899809,0.047690995,0.041182727,0.033835296,0.04138209,0.051116023,0.055698182,0.047756653,0.038749292,0.037300304,0.03385873,0.023124613,0.047199477,0.03589707,0.037505638,0.027408917,0.064988345,0.050239272,0.04808339,0.046956837,0.03406802
0.19707885,0.20220338,0.20567767,0.21373858,0.18130149,0.042159073,0.041077092,0.04000756,0.03757373,0.041759785,0.050061245,0.03584373,0.040630274,0.033588838,0.04315204,0.041535225,0.041284416,0.043295845,0.042687394,0.037269384,0.054356426,0.038275443,0.04498137,0.037848424,0.032787744,0.051106654,0.0415018,0.047849607,0.039366927
0.19646452,0.19830309,0.20283006,0.18609676,0.21630552,0.035516396,0.03243256,0.03473219,0.047459785,0.05079728,0.043582782,0.04600802,0.0356958,0.03863144,0.053450573,0.037071254,0.03931057,0.0521858,0.037290044,0.037711,0.036878508,0.038285855,0.04952818,0.039451685,0.040186718,0.049593642,0.044112816,0.03965207,0.040435035
0.1977523,0.20292068,0.19938776,0.20622207,0.19371718,0.037515137,0.034555443,0.03514968,0.0433415,0.046473924,0.052848272,0.044645064,0.037836313,0.03778537,0.03977838,0.035658263,0.039216124,0.03985684,0.03902739,0.04679627,0.04374341,0.046523806,0.0418033,0.04883603,0.04464625,0.033651616,0.049454063,0.047530837,0.03332668
0.17985794,0.21948028,0.18293962,0.20519963,0.21252252,0.051910724,0.041665327,0.041433748,0.043126393,0.052861873,0.036297712,0.04617872,0.0355093,0.03882686,0.044490065,0.0456977,0.04193941,0.05019276,0.038129892,0.035826463,0.041784585,0.042834066,0.03423409,0.0335564,0.038727634,0.041692853,0.043404683,0.038987443,0.04069125
0.2054043,0.2009505,0.19731197,0.20007722,0.19625603,0.04472743,0.04992136,0.041735332,0.038879137,0.034645434,0.04527624,0.044098224,0.055486802,0.037063085,0.03727217,0.04002429,0.042766396,0.04069777,0.034381412,0.040427428,0.03465468,0.047098015,0.049465485,0.040578537,0.036596004,0.046843447,0.035179943,0.046457868,0.035723556
0.22364132,0.19470203,0.20103666,0.20528106,0.1753389,0.036162507,0.04254005,0.04510976,0.04506447,0.05358309,0.04554956,0.037224546,0.048840746,0.03437787,0.039612755,0.04122238,0.032293674,0.045609187,0.046362553,0.038494293,0.043422718,0.04245326,0.040690962,0.03774952,0.035480585,0.042623404,0.045173533,0.047301356,0.03305732
0.20063266,0.19795446,0.18150812,0.22311571,0.19678903,0.043981455,0.050991923,0.0523007,0.04730004,0.028455056,0.036234356,0.058475904,0.042077325,0.03883637,0.034617785,0.036042042,0.038400657,0.037180997,0.044492982,0.03807579,0.03779458,0.039488856,0.033354014,0.04646525,0.03770676,0.047796544,0.05072439,0.04557575,0.03363045
0.20078807,0.18921378,0.18632954,0.22682048,0.19684808,0.042328455,0.05152916,0.030252397,0.037525315,0.0373141,0.042406987,0.039721064,0.023606999,0.042820852,0.038922828,0.043937646,0.048566394,0.043451346,0.04776648,0.046577644,0.03504246,0.040579278,0.04797174,0.035955705,0.047366135,0.048331104,0.047142323,0.043415546,0.037468046
0.19425985,0.2150346,0.17770521,0.21315695,0.19984336,0.044125747,0.03368447,0.03914972,0.03545929,0.035454795,0.029806394,0.047442194,0.04136643,0.038188476,0.050044294,0.058705978,0.04946848,0.041100435,0.044738125,0.041923515,0.05891426,0.029283047,0.05790497,0.036114156,0.043807972,0.038818967,0.037430044,0.037621863,0.029446397
0.20507617,0.17301098,0.21930712,0.19419716,0.20840858,0.04099484,0.047366366,0.039336365,0.043780204,0.03274289,0.047805786,0.038836047,0.027352951,0.025098098,0.04951933,0.035876382,0.050760336,0.049609736,0.047585446,0.033469763,0.047954574,0.047790583,0.035716843,0.054731306,0.040343463,0.030979984,0.04787759,0.038765773,0.04570533
0.2044503,0.21766831,0.18851945,0.20957163,0.17979032,0.040825967,0.042313527,0.03735517,0.046017595,0.036014915,0.043751787,0.041206885,0.04219472,0.04357095,0.051925592,0.04258176,0.0423292,0.040038142,0.037361648,0.039190866,0.060939763,0.034259595,0.033640254,0.039041877,0.044034414,0.041531377,0.04675544,0.022953961,0.05016456
0.17869543,0.18901788,0.23111394,0.20801555,0.1931572,0.03720825,0.034373794,0.038433142,0.048100162,0.0409465,0.039914656,0.03508265,0.035444662,0.04058724,0.04070367,0.047470827,0.056032013,0.044165507,0.052465428,0.031467017,0.04170333,0.045845784,0.03966338,0.046965856,0.039130885,0.04303004,0.037966654,0.04674052,0.03655807
0.2210881,0.18952028,0.1950029,0.20787328,0.18651544,0.037453033,0.050589774,0.03248178,0.033827186,0.047355674,0.04530692,0.039790154,0.034128807,0.03626238,0.041294277,0.044285957,0.03843335,0.03787298,0.044372562,0.039403245,0.048408177,0.043172643,0.038406868,0.041788377,0.04964532,0.043207362,0.046817716,0.043409813,0.04228566
0.19317345,0.21470062,0.1982465,0.18744063,0.20643872,0.046293214,0.041584246,0.032824367,0.037202127,0.03561214,0.04593171,0.041690394,0.037443504,0.041171968,0.04133405,0.03272599,0.04791251,0.049274214,0.032393117,0.05085612,0.048877705,0.041623123,0.044561457,0.040642634,0.046756107,0.044874497,0.042597365,0.04613826,0.029679174
0.21222086,0.19529133,0.19567074,0.19420816,0.20260894,0.050723586,0.04703176,0.04356996,0.042836692,0.04949891,0.032557834,0.03398298,0.043774247,0.04264035,0.0381134,0.043081287,0.043701325,0.04119414,0.048023857,0.039378963,0.049534883,0.047188953,0.042195175,0.04181887,0.036814224,0.030802758,0.034681357,0.035865664,0.040988848
0.19580662,0.20614152,0.18847324,0.17805055,0.23152807,0.03652486,0.03640817,0.03806733,0.0382663,0.038913704,0.029182648,0.050817896,0.045547504,0.044275876,0.04773009,0.04169952,0.036366906,0.05027365,0.03949155,0.048122536,0.041666016,0.039913148,0.05063242,0.038423184,0.042300522,0.03474042,0.047703072,0.04515291,0.037779763
0.2036529,0.19130827,0.19227172,0.19516765,0.21759939,0.045151312,0.04161518,0.037329484,0.040483836,0.038951665,0.03651943,0.04341606,0.04586678,0.040560916,0.052423485,0.041642725,0.044755995,0.033934385,0.039417826,0.042456042,0.041742276,0.041545693,0.04892877,0.043013018,0.042634048,0.03321241,0.053834274,0.032473747,0.038090646
0.19937956,0.20510541,0.20191357,0.20970547,0.18389598,0.04141247,0.040536575,0.036431517,0.036568362,0.035518058,0.04219367,0.048733614,0.053084627,0.042230714,0.03742054,0.033958673,0.04860837,0.042604096,0.044905912,0.04041869,0.044283196,0.034254037,0.056428917,0.045467414,0.03650748,0.03649076,0.05284242,0.034507398,0.03459254
0.19220372,0.20659079,0.21395452,0.19342728,0.19382362,0.04496939,0.038417865,0.040709004,0.04327115,0.046504535,0.038230818,0.045080286,0.04249946,0.04438416,0.043963414,0.040176578,0.029397223,0.03758303,0.034516457,0.045939796,0.054819155,0.049843688,0.049584366,0.042065002,0.03271668,0.044695646,0.03650228,0.034068964,0.040061075
0.21150939,0.18905856,0.2314248,0.17431983,0.19368738,0.041361224,0.03264782,0.045723252,0.03650557,0.04026698,0.048381336,0.037389338,0.033737402,0.04501193,0.05045266,0.04441484,0.041471507,0.049463365,0.040461924,0.03964795,0.041154355,0.033036478,0.044814046,0.0446941,0.040933497,0.039722856,0.03270141,0.047623493,0.04838267
