iter	Passed	Remaining
291	3296	7992
292	3305	7977
293	3315	7962
294	3325	7947
295	3334	7931
296	3344	7915
297	3353	7900
298	3363	7885
299	3373	7871
300	3383	7858
301	3394	7845
302	3404	7832
303	3415	7819
304	3425	7805
305	3437	7795
306	3448	7783
307	3458	7770
308	3469	7759
309	3480	7747
310	3492	7737
311	3502	7724
312	3514	7712
313	3524	7699
314	3534	7687
315	3545	7674
316	3556	7663
317	3568	7652
318	3581	7645
319	3594	7638
320	3607	7630
321	3619	7621
322	3630	7609
323	3643	7601
324	3654	7590
325	3666	7580
326	3677	7568
327	3688	7557
328	3700	7546
329	3712	7538
330	3725	7530
331	3738	7522
332	3751	7514
333	3765	7509
334	3778	7500
335	3791	7493
336	3805	7487
337	3817	7477
338	3829	7466
339	3840	7454
340	3851	7442
341	3860	7427
342	3871	7415
343	3881	7402
344	3891	7388
345	3901	7374
346	3912	7362
347	3922	7348
348	3931	7334
349	3941	7320
350	3951	7305
351	3960	7290
352	3969	7275
353	3978	7259
354	3987	7245
355	3996	7229
356	4005	7213
357	4013	7197
358	4022	7182
359	4031	7167
360	4041	7153
361	4050	7139
362	4060	7125
363	4070	7111
364	4080	7098
365	4089	7084
366	4099	7070
367	4108	7056
368	4117	7041
369	4127	7028
370	4137	7015
371	4147	7002
372	4157	6989
373	4167	6976
374	4177	6963
375	4187	6949
376	4196	6935
377	4206	6921
378	4215	6907
379	4225	6894
380	4235	6880
381	4244	6866
382	4253	6852
383	4263	6838
384	4272	6824
385	4281	6809
386	4290	6795
387	4299	6781
388	4308	6767
389	4316	6752
390	4326	6738
391	4336	6725
392	4345	6711
393	4354	6698
394	4365	6686
395	4375	6673
396	4384	6660
397	4395	6648
398	4405	6636
399	4416	6624
400	4425	6611
401	4435	6598
402	4445	6585
403	4455	6572
404	4465	6560
405	4475	6547
406	4485	6535
407	4494	6521
408	4504	6508
409	4513	6495
410	4524	6483
411	4534	6471
412	4544	6459
413	4555	6447
414	4565	6435
415	4576	6424
416	4586	6412
417	4596	6400
418	4607	6388
419	4616	6375
420	4627	6363
421	4637	6351
422	4647	6339
423	4658	6327
424	4667	6315
425	4678	6303
426	4689	6292
427	4699	6280
428	4709	6268
429	4719	6256
430	4730	6244
431	4741	6233
432	4751	6222
433	4762	6211
434	4773	6200
435	4784	6189
436	4794	6177
437	4804	6165
438	4814	6152
439	4823	6139
440	4833	6126
441	4842	6113
442	4854	6104
443	4865	6093
444	4876	6081
445	4886	6069
446	4897	6058
447	4907	6046
448	4917	6034
449	4926	6021
450	4935	6008
451	4945	5995
452	4955	5983
453	4964	5970
454	4973	5957
455	4982	5944
456	4992	5932
457	5002	5919
458	5011	5906
459	5021	5894
460	5031	5882
461	5041	5870
462	5051	5858
463	5061	5846
464	5072	5835
465	5083	5825
466	5093	5813
467	5104	5802
468	5113	5789
469	5124	5778
470	5134	5766
471	5144	5755
472	5154	5743
473	5164	5731
474	5175	5719
475	5185	5708
476	5196	5697
477	5206	5686
478	5217	5675
479	5228	5664
480	5238	5652
481	5249	5641
482	5260	5630
483	5270	5619
484	5281	5608
485	5291	5595
486	5301	5584
487	5311	5572
488	5322	5561
489	5332	5550
490	5343	5539
491	5354	5528
492	5364	5516
493	5374	5505
494	5385	5494
495	5395	5482
496	5405	5470
497	5414	5458
498	5425	5446
499	5434	5434
500	5445	5423
501	5455	5412
502	5465	5400
503	5476	5389
504	5486	5377
505	5495	5365
506	5505	5353
507	5515	5341
508	5526	5330
509	5536	5319
510	5547	5308
511	5557	5297
512	5568	5286
513	5579	5275
514	5590	5265
515	5602	5254
516	5613	5244
517	5624	5233
518	5635	5222
519	5646	5212
520	5658	5202
521	5671	5193
522	5683	5183
523	5694	5173
524	5706	5162
525	5717	5152
526	5730	5143
527	5742	5133
528	5754	5123
529	5765	5112
530	5777	5103
531	5789	5093
532	5802	5083
533	5812	5072
534	5822	5060
535	5834	5050
536	5846	5040
537	5859	5032
538	5872	5022
539	5884	5012
540	5895	5001
541	5906	4990
542	5916	4979
543	5926	4968
544	5937	4957
545	5948	4945
546	5958	4934
547	5968	4923
548	5978	4911
549	5988	4899
550	5997	4887
551	6007	4875
552	6016	4863
553	6025	4850
554	6035	4839
555	6045	4827
556	6054	4815
557	6064	4803
558	6073	4791
559	6083	4779
560	6093	4768
561	6103	4756
562	6112	4744
563	6123	4733
564	6134	4722
565	6144	4711
566	6154	4699
567	6164	4688
568	6174	4677
569	6185	4665
570	6194	4654
571	6204	4642
572	6214	4631
573	6223	4618
574	6233	4607
575	6242	4594
576	6252	4584
577	6263	4572
578	6273	4561
579	6283	4549
580	6292	4538
581	6302	4526
582	6310	4513
583	6320	4502
584	6330	4491
585	6341	4480
586	6351	4468
587	6361	4457
588	6372	4446
589	6382	4435
590	6391	4423
591	6401	4411
592	6410	4400
593	6421	4388
594	6430	4376
595	6440	4365
596	6450	4354
597	6459	4342
598	6470	4331
599	6479	4319
600	6489	4308
601	6499	4297
602	6509	4285
603	6519	4274
604	6528	4262
605	6538	4251
606	6549	4240
607	6559	4229
608	6570	4218
609	6580	4207
610	6590	4195
611	6600	4184
612	6609	4173
613	6620	4161
614	6630	4150
615	6641	4139
616	6651	4129
617	6661	4117
618	6672	4106
619	6682	4095
620	6692	4084
621	6702	4073
622	6712	4062
623	6722	4050
624	6732	4039
625	6742	4028
626	6752	4017
627	6763	4006
628	6773	3995
629	6784	3984
630	6795	3973
631	6804	3962
632	6814	3951
633	6824	3939
634	6834	3928
635	6844	3917
636	6854	3905
637	6864	3894
638	6873	3883
639	6884	3872
640	6893	3861
641	6903	3849
642	6913	3838
643	6923	3827
644	6933	3816
645	6943	3805
646	6953	3793
647	6962	3782
648	6972	3770
649	6981	3759
650	6991	3748
651	7001	3736
652	7011	3725
653	7021	3714
654	7030	3703
655	7041	3692
656	7051	3681
657	7061	3670
658	7073	3660
659	7083	3648
660	7093	3637
661	7103	3626
662	7113	3615
663	7123	3604
664	7133	3593
665	7144	3582
666	7154	3571
667	7164	3560
668	7174	3549
669	7184	3538
670	7195	3527
671	7204	3516
672	7215	3505
673	7226	3495
674	7236	3484
675	7246	3473
676	7256	3462
677	7267	3451
678	7277	3440
679	7287	3429
680	7297	3418
681	7307	3407
682	7317	3396
683	7328	3385
684	7337	3374
685	7348	3363
686	7358	3352
687	7368	3341
688	7378	3330
689	7387	3319
690	7397	3308
691	7407	3296
692	7417	3285
693	7427	3274
694	7437	3263
695	7447	3252
696	7456	3241
697	7466	3230
698	7476	3219
699	7486	3208
700	7496	3197
701	7506	3186
702	7515	3175
703	7526	3164
704	7536	3153
705	7546	3142
706	7556	3131
707	7566	3120
708	7576	3109
709	7586	3098
710	7597	3088
711	7608	3077
712	7620	3067
713	7632	3057
714	7644	3047
715	7656	3036
716	7667	3026
717	7679	3016
718	7690	3005
719	7702	2995
720	7713	2984
721	7724	2974
722	7735	2963
723	7745	2952
724	7756	2942
725	7768	2931
726	7779	2921
727	7790	2910
728	7801	2900
729	7813	2890
730	7825	2879
731	7836	2869
732	7846	2858
733	7857	2847
734	7867	2836
735	7877	2825
736	7886	2814
737	7896	2803
738	7906	2792
739	7916	2781
740	7926	2770
741	7936	2759
742	7948	2749
743	7958	2738
744	7969	2727
745	7980	2717
746	7991	2706
747	8002	2696
748	8013	2685
749	8024	2674
750	8035	2664
751	8048	2654
752	8059	2643
753	8071	2633
754	8083	2623
755	8095	2612
756	8108	2602
757	8120	2592
758	8132	2582
759	8143	2571
760	8153	2560
761	8163	2549
762	8173	2538
763	8183	2527
764	8194	2517
765	8204	2506
766	8215	2495
767	8225	2484
768	8235	2473
769	8244	2462
770	8254	2451
771	8264	2440
772	8274	2429
773	8284	2419
774	8295	2408
775	8306	2397
776	8316	2386
777	8327	2376
778	8336	2365
779	8346	2354
780	8357	2343
781	8367	2332
782	8376	2321
783	8386	2310
784	8396	2299
785	8406	2288
786	8416	2277
787	8426	2267
788	8436	2256
789	8446	2245
790	8456	2234
791	8466	2223
792	8476	2212
793	8486	2201
794	8496	2190
795	8506	2180
796	8516	2169
797	8526	2158
798	8536	2147
799	8546	2136
800	8556	2125
801	8567	2115
802	8577	2104
803	8588	2093
804	8597	2082
805	8608	2071
806	8619	2061
807	8629	2050
808	8639	2039
809	8650	2029
810	8660	2018
811	8670	2007
812	8680	1996
813	8690	1985
814	8702	1975
815	8713	1964
816	8724	1954
817	8734	1943
818	8744	1932
819	8755	1921
820	8765	1911
821	8776	1900
822	8787	1889
823	8798	1879
824	8808	1868
825	8817	1857
826	8827	1846
827	8837	1835
828	8847	1824
829	8856	1813
830	8866	1803
831	8876	1792
832	8886	1781
833	8896	1770
834	8905	1759
835	8915	1748
836	8925	1738
837	8936	1727
838	8945	1716
839	8955	1705
840	8965	1694
841	8975	1684
842	8985	1673
843	8995	1662
844	9005	1651
845	9015	1641
846	9025	1630
847	9035	1619
848	9046	1609
849	9057	1598
850	9067	1587
851	9078	1576
852	9088	1566
853	9099	1555
854	9109	1544
855	9120	1534
856	9130	1523
857	9141	1512
858	9151	1502
859	9163	1491
860	9173	1480
861	9183	1470
862	9194	1459
863	9204	1448
864	9214	1438
865	9224	1427
866	9235	1416
867	9245	1406
868	9257	1395
869	9267	1384
870	9278	1374
871	9288	1363
872	9299	1352
873	9309	1342
874	9319	1331
875	9329	1320
876	9339	1309
877	9349	1299
878	9358	1288
879	9368	1277
880	9378	1266
881	9387	1255
882	9397	1245
883	9407	1234
884	9417	1223
885	9427	1213
886	9438	1202
887	9448	1191
888	9458	1180
889	9468	1170
890	9477	1159
891	9487	1148
892	9496	1137
893	9506	1127
894	9516	1116
895	9526	1105
896	9536	1095
897	9547	1084
898	9557	1073
899	9568	1063
900	9578	1052
901	9589	1041
902	9599	1031
903	9609	1020
904	9619	1009
905	9630	999
906	9640	988
907	9651	977
908	9661	967
909	9671	956
910	9682	945
911	9693	935
912	9703	924
913	9714	914
914	9723	903
915	9733	892
916	9745	882
917	9757	871
918	9768	861
919	9780	850
920	9791	839
921	9803	829
922	9814	818
923	9825	808
924	9837	797
925	9849	787
926	9861	776
927	9871	765
928	9882	755
929	9893	744
930	9904	734
931	9919	723
932	9936	713
933	9951	703
934	9965	692
935	9975	682
936	9984	671
937	9994	660
938	10004	649
939	10014	639
940	10024	628
941	10034	617
942	10045	607
943	10055	596
944	10065	585
945	10075	575
946	10086	564
947	10097	553
948	10109	543
949	10120	532
950	10131	522
951	10141	511
952	10152	500
953	10162	490
954	10173	479
955	10182	468
956	10193	458
957	10204	447
958	10214	436
959	10225	426
960	10237	415
961	10248	404
962	10259	394
963	10270	383
964	10282	372
965	10293	362
966	10304	351
967	10318	341
968	10329	330
969	10341	319
970	10352	309
971	10363	298
972	10374	287
973	10385	277
974	10397	266
975	10408	255
976	10420	245
977	10430	234
978	10441	223
979	10452	213
980	10463	202
981	10473	191
982	10483	181
983	10493	170
984	10504	159
985	10514	149
986	10525	138
987	10535	127
988	10546	117
989	10556	106
990	10567	95
991	10577	85
992	10587	74
993	10597	63
994	10607	53
995	10617	42
996	10627	31
997	10637	21
998	10648	10
999	10657	0
