iter	RMSE
135	0.4315841322
136	0.43132561
137	0.4309375901
138	0.4307382335
139	0.4303602675
140	0.4300138834
141	0.4295446492
142	0.4291004033
143	0.4287497966
144	0.4284430399
145	0.4281871252
146	0.4279141334
147	0.4276339495
148	0.4273067965
149	0.4271333736
150	0.4267978898
151	0.4264442258
152	0.4262332297
153	0.4259479929
154	0.4256803589
155	0.4254121463
156	0.4251203796
157	0.4248560338
158	0.4246574147
159	0.4243924269
160	0.4241993999
161	0.4240274508
162	0.4237639361
163	0.4235973368
164	0.423385204
165	0.4230199934
166	0.4227760968
167	0.4225623902
168	0.4222871032
169	0.4218474724
170	0.4216016278
171	0.4213672166
172	0.4210924929
173	0.4208530937
174	0.420471703
175	0.4202170129
176	0.4199717032
177	0.4197945818
178	0.4195512703
179	0.419180046
180	0.4188701582
181	0.4185704608
182	0.4183279131
183	0.4180539607
184	0.4178695827
185	0.4176490656
186	0.4172883531
187	0.4170643118
188	0.4167215274
189	0.4165606056
190	0.4162587126
191	0.4159955764
192	0.415666426
193	0.4153422323
194	0.4151527812
195	0.4150283862
196	0.4148002108
197	0.4145877921
198	0.4143196168
199	0.4141015319
200	0.4138839342
201	0.4135132404
202	0.4132503885
203	0.4130276884
204	0.4128761734
205	0.412707973
206	0.4124652626
207	0.4121395428
208	0.4118484926
209	0.4116492704
210	0.4114589959
211	0.4113244469
212	0.4109668901
213	0.4108550707
214	0.4106480633
215	0.4104466242
216	0.4102187419
217	0.4100239314
218	0.4098612876
219	0.4097043513
220	0.4095691484
221	0.4093259038
222	0.4091649542
223	0.4089957746
224	0.4088928619
225	0.4086434827
226	0.4083666502
227	0.4081695016
228	0.4080017122
229	0.4077627188
230	0.4075355974
231	0.4073938337
232	0.4071066167
233	0.4069191757
234	0.4067108783
235	0.4065692822
236	0.4064867567
237	0.4061396523
238	0.4059408632
239	0.4057262786
240	0.4055558946
241	0.4053754348
242	0.4052186372
243	0.4049891257
244	0.4049124141
245	0.4046896179
246	0.4045221327
247	0.4042806858
248	0.4040976657
249	0.4039339048
250	0.4036688747
251	0.4035346797
252	0.4033017828
253	0.4031261866
254	0.4029636847
255	0.4028327387
256	0.4025944965
257	0.4024411824
258	0.4022040276
259	0.4020268866
260	0.4018345985
261	0.4017449653
262	0.4015226496
263	0.4012896999
264	0.4010421424
265	0.4008947999
266	0.4007084067
267	0.4004948651
268	0.4004156878
269	0.4002133587
270	0.3999473557
271	0.399777518
272	0.3995996714
273	0.3995341375
274	0.3993230523
275	0.3990976824
276	0.3989631326
277	0.3986874258
278	0.3985152941
279	0.3982827915
280	0.3981553841
281	0.3980088415
282	0.3977922441
283	0.3976318655
284	0.3974754885
285	0.3972720084
286	0.3971469986
287	0.3970305666
288	0.3968274443
289	0.3966829291
290	0.3965282672
291	0.3963831801
292	0.396176612
293	0.3960214875
294	0.3959151035
295	0.3957864564
296	0.3956784117
297	0.3954739248
298	0.3953236029
299	0.3951438898
300	0.3949966492
301	0.3948341873
302	0.3946786756
303	0.3944849837
304	0.3943348726
305	0.3941470189
306	0.3938670406
307	0.393713282
308	0.3934693291
309	0.3932940249
310	0.3930866127
311	0.392945668
312	0.3927742296
313	0.3925858138
314	0.3924252025
315	0.3921252554
316	0.3919207016
317	0.3918116621
318	0.3916325244
319	0.391497553
320	0.391361834
321	0.3912010298
322	0.3910022875
323	0.3907862721
324	0.3905661598
325	0.3904406141
326	0.3902607353
327	0.390046362
328	0.3898838025
329	0.3897478127
330	0.3896425566
331	0.3895102806
332	0.389355441
333	0.389168191
334	0.3890882245
335	0.3889862678
336	0.3887779647
337	0.3886897986
338	0.3884754485
339	0.3882351566
340	0.3880903046
341	0.3880408842
342	0.3878032171
343	0.3874971463
344	0.3873795386
345	0.3871520456
346	0.3869995283
347	0.3867898326
348	0.3865139376
349	0.3863189342
350	0.3862023266
351	0.3859421945
352	0.3857648118
353	0.3856019854
354	0.3854416175
355	0.385202763
356	0.3851558657
357	0.3850321886
358	0.3848515992
359	0.3846535228
360	0.3844294346
361	0.3842639716
362	0.3841154766
363	0.3839352175
364	0.3838244957
365	0.3836482588
366	0.3835076151
367	0.3833902926
368	0.3832869637
369	0.3831093823
370	0.3828360329
371	0.3825985952
372	0.3825028138
373	0.382376001
374	0.3822376356
375	0.3820734462
376	0.3818953294
377	0.3817205808
378	0.3815660068
379	0.3813788428
380	0.3812906626
381	0.3811344836
382	0.3810241731
383	0.3808344617
384	0.3806981326
385	0.3805694147
386	0.3804171143
387	0.3802734129
388	0.3800389019
389	0.3799510457
390	0.379746166
391	0.3795394582
392	0.3793740056
393	0.379240723
394	0.3791067508
395	0.3789973804
396	0.3789310748
397	0.3786931505
398	0.3785766007
399	0.3784348468
400	0.3783681923
401	0.3782018522
402	0.3780392363
403	0.3779331613
404	0.3778396522
405	0.3777510757
406	0.3776293989
407	0.3774768782
408	0.3773890811
409	0.3772346031
410	0.3770371671
411	0.3769314701
412	0.3768224045
413	0.376742342
414	0.3765939522
415	0.3764146199
416	0.3763145623
417	0.3761413818
418	0.3760156673
419	0.3758999876
420	0.3757353046
421	0.375642476
422	0.3754869576
423	0.3753581375
424	0.3752264309
425	0.375111211
426	0.3749611805
427	0.3748583235
428	0.3747113018
429	0.3745389762
430	0.3744152332
431	0.3742589995
432	0.3741822717
433	0.3740714069
434	0.3738524742
435	0.3737180534
436	0.3736271483
437	0.3734468428
438	0.3733297799
439	0.3732186506
440	0.3730935131
441	0.372874407
442	0.3727135596
443	0.3725941854
444	0.3724174633
445	0.372305449
446	0.3721348859
447	0.3720258063
448	0.3719304082
449	0.3718858086
450	0.3717457074
451	0.3716553441
452	0.3716186923
453	0.3715455288
454	0.3713506774
455	0.3712727157
456	0.3710672198
457	0.370980175
458	0.3708952615
459	0.370860321
460	0.3706977539
461	0.3706098381
462	0.3704010649
463	0.3703030566
464	0.3701752831
465	0.3700462707
466	0.3698857585
467	0.3697235935
468	0.3696340383
469	0.369446417
470	0.3693267508
471	0.3691531482
472	0.3690420321
473	0.3689097359
474	0.3687248457
475	0.3685203244
476	0.368457924
477	0.368332901
478	0.3681293125
479	0.3679925351
480	0.3678373102
481	0.3676637745
482	0.3674317859
483	0.3673062275
484	0.3672111198
485	0.3670689239
486	0.3668906497
487	0.3667793537
488	0.3666517809
489	0.3665128358
490	0.3663537544
491	0.3661958147
492	0.3660771897
493	0.3658866328
494	0.3657858969
495	0.3656863314
496	0.3655414658
497	0.3654209674
498	0.3652601588
499	0.3651578217
500	0.3650266611
501	0.3648797448
502	0.3647397754
503	0.3645362211
504	0.3644037277
505	0.364237306
506	0.3641607238
507	0.3640168182
508	0.3639424626
509	0.3638121444
510	0.3636739443
511	0.3635666532
512	0.3634746866
513	0.3632993068
514	0.3631599019
515	0.3630843392
516	0.3629797399
517	0.3628582683
518	0.3626932241
519	0.3625478094
520	0.3624377147
521	0.3623149681
522	0.3621580746
523	0.3620939613
524	0.3620012785
525	0.3619073425
526	0.361746952
527	0.3616487996
528	0.3615609285
529	0.3614808686
530	0.3613356969
531	0.3612119691
532	0.3610908152
533	0.3609991367
534	0.360926342
535	0.3608031837
536	0.360709998
537	0.3605992739
538	0.360467432
539	0.360399392
540	0.360250487
541	0.3601370215
542	0.3599534772
543	0.3597918346
544	0.3596579389
545	0.3594272626
546	0.3593178246
547	0.3591920089
548	0.3589888002
549	0.3588591022
550	0.3587833817
551	0.3586969687
552	0.3586011287
553	0.3584448964
554	0.3583626723
555	0.3582468294
556	0.3581329319
557	0.3580130486
558	0.3578887587
559	0.3577919028
560	0.357611078
561	0.3574863477
562	0.357395869
563	0.3572706788
564	0.3571148884
565	0.3570006234
566	0.3568863773
567	0.3566965064
568	0.3565645352
569	0.3564237438
570	0.3563118827
571	0.3562022388
572	0.355994759
573	0.3558880273
574	0.3557808736
575	0.3556438446
576	0.3555512172
577	0.3553780225
578	0.3552562952
579	0.3551247978
580	0.3549876519
581	0.3549192848
582	0.354793261
583	0.354635856
584	0.3545035294
585	0.3543630537
586	0.3542299578
587	0.3540816243
588	0.3538707346
589	0.3537793093
590	0.3537459323
591	0.3535994957
592	0.3535309616
593	0.3534514191
594	0.3533032587
595	0.35321792
596	0.3531524683
597	0.3530047265
598	0.3528220856
599	0.3527723348
600	0.3526014942
601	0.3525256533
602	0.352371322
603	0.3523149264
604	0.3522559756
605	0.3521983792
606	0.3520979149
607	0.3519631612
608	0.3518087876
609	0.3516578532
610	0.3515702684
611	0.3514467664
612	0.3513513018
613	0.3512079571
614	0.3511324623
615	0.3509978432
616	0.3508781688
617	0.3507130788
618	0.3505995578
619	0.3504972482
620	0.3504250516
621	0.3503153769
622	0.3502889228
623	0.3501284407
624	0.3500984302
625	0.3500639033
626	0.349910384
627	0.3498050077
628	0.3496511663
629	0.3495180126
630	0.3493333341
631	0.3492015043
632	0.3491247939
633	0.3489411796
634	0.348843747
635	0.348751862
636	0.3486587517
637	0.348527412
638	0.3484321951
639	0.3483648026
640	0.3482967481
641	0.348188907
642	0.3480931437
643	0.3479530401
644	0.3478486077
645	0.3477018156
646	0.3475888616
647	0.3474849112
648	0.3473823172
649	0.3473152084
650	0.3472293722
651	0.3471319538
652	0.3469936253
653	0.3468697126
654	0.3467265532
655	0.3466547307
656	0.3465534448
657	0.3464697123
658	0.3463302155
659	0.3462998181
660	0.3461643267
661	0.3460653129
662	0.3459913426
663	0.3458250489
664	0.3457500726
665	0.345661893
666	0.3455831663
667	0.3454785596
668	0.3452617522
669	0.3450918411
670	0.3449643657
671	0.3447963404
672	0.3446839649
673	0.3445693905
674	0.3444476836
675	0.3444133499
676	0.344313055
677	0.3442022583
678	0.3440368161
679	0.3439123575
680	0.3438107787
681	0.3437450927
682	0.3436273202
683	0.3434608859
684	0.3433811239
685	0.3432561982
686	0.3431271665
687	0.3429858069
688	0.3429046809
689	0.34277554
690	0.3426537812
691	0.3425439199
692	0.3424862927
693	0.3424357007
694	0.3423092072
695	0.3422017421
696	0.3420810115
697	0.3419700612
698	0.3418932637
699	0.3418602098
700	0.3417145581
701	0.3415586441
702	0.3414936823
703	0.3413242576
704	0.3412767905
705	0.3412294075
706	0.3411259669
707	0.3410311984
708	0.3409542607
709	0.3408481097
710	0.3406855431
711	0.3405753259
712	0.3403808381
713	0.3401278832
714	0.3400160665
715	0.3398976612
716	0.3397798833
717	0.3396332868
718	0.3395336123
719	0.3394420666
720	0.3393261578
721	0.3392315373
722	0.339122015
723	0.3389873176
724	0.3389271755
725	0.3388389724
726	0.3387163876
727	0.3385656172
728	0.3384932369
729	0.3383945943
730	0.3381506934
731	0.3380109512
732	0.3379233056
733	0.3378181443
734	0.3376658246
735	0.3375100676
736	0.3373472206
737	0.3371665083
738	0.337008392
739	0.3369229489
740	0.3368102894
741	0.3367627775
742	0.3366114595
743	0.336556836
744	0.336412578
745	0.3362770204
746	0.3361673793
747	0.3360876082
748	0.3359070666
749	0.3357958668
750	0.3357211314
751	0.3355771555
752	0.3355260186
753	0.3354156324
754	0.3352635478
755	0.3351454953
756	0.3350300843
757	0.3349033303
758	0.3348286527
759	0.334697483
760	0.3346380014
761	0.3345101224
762	0.3344074286
763	0.3342761674
764	0.3342070761
765	0.3341132132
766	0.3339807849
767	0.3339069836
768	0.3337628184
769	0.3336447199
770	0.3335409387
771	0.3334263089
772	0.3332975245
773	0.3332722214
774	0.3331579218
775	0.3330961904
776	0.3330193375
777	0.332943875
778	0.3328609544
779	0.3327592759
780	0.3326741842
781	0.3326112714
782	0.3324831988
783	0.3323089129
784	0.3321997451
785	0.3320992953
786	0.3319435524
787	0.3318436393
788	0.3316538032
789	0.3315294073
790	0.3314653439
791	0.3312954778
792	0.3311795903
793	0.3311258326
794	0.3310931353
795	0.3309916138
796	0.3308571044
797	0.3307264549
798	0.3305452472
799	0.3304993271
800	0.3304259332
801	0.3303090621
802	0.3302140624
803	0.330145502
804	0.3300635906
805	0.3299497698
806	0.3298428934
807	0.3297467992
808	0.3296217152
809	0.3295425462
810	0.3293878296
811	0.3292825829
812	0.3292244306
813	0.3291564357
814	0.3290382848
815	0.3288876108
816	0.3287706077
817	0.3287147648
818	0.32863409
819	0.3285012098
820	0.3284213095
821	0.3282956781
822	0.3281587248
823	0.3280961437
824	0.327993704
825	0.327844111
826	0.3277261683
827	0.3276864159
828	0.3275183699
829	0.327453442
830	0.3273854542
831	0.3272941099
832	0.3271713041
833	0.3271104734
834	0.3269784796
835	0.3269089311
836	0.3268154192
837	0.3267270794
838	0.3266835259
839	0.3265621065
840	0.3264821163
841	0.3263587951
842	0.3262573298
843	0.3261604698
844	0.3260886226
845	0.3260026041
846	0.3259003741
847	0.3257853252
848	0.3256813697
849	0.3255457084
850	0.3254941844
851	0.3253903087
852	0.3252234155
853	0.3251159339
854	0.3249572292
855	0.3248807726
856	0.3247513362
857	0.3246433084
858	0.3245015595
859	0.3243961801
860	0.3242811279
861	0.3242373837
862	0.3241521685
863	0.3240686727
864	0.3239726123
865	0.3238658669
866	0.3237820772
867	0.3236676541
868	0.3235992603
869	0.3234806294
870	0.3233922628
871	0.3233051832
872	0.3231135662
873	0.3230379854
874	0.3228697246
875	0.3228102472
876	0.3226903441
877	0.3226309076
878	0.3225707136
879	0.322458108
880	0.3222669859
881	0.3221651772
882	0.3220718017
883	0.3219479797
884	0.3218738309
885	0.3217314998
886	0.3215923677
887	0.3215119461
888	0.3214451771
889	0.3213149496
890	0.3211877918
891	0.3211410862
892	0.3210448839
893	0.3209522805
894	0.3208550897
895	0.3207503245
896	0.3206838595
897	0.3206337782
898	0.3205174929
899	0.3204441777
900	0.320369528
901	0.3202403147
902	0.3201417995
903	0.3200884343
904	0.3200008696
905	0.3199156065
906	0.3197981941
907	0.3197525195
908	0.3196179376
909	0.3194941458
910	0.3192509761
911	0.3191239094
912	0.3190516089
913	0.3189245595
914	0.3188785106
915	0.3187921052
916	0.3187054933
917	0.3185525054
918	0.3184642237
919	0.3183699346
920	0.318297113
921	0.318193894
922	0.3181441829
923	0.3180851337
924	0.3180023813
925	0.3179186882
926	0.3178520411
927	0.3178126042
928	0.317702843
929	0.3175634505
930	0.3174734751
931	0.3173439239
932	0.3172344363
933	0.3171397319
934	0.3169743813
935	0.3169161564
936	0.3168761251
937	0.316819301
938	0.3167386497
939	0.3166178352
940	0.3165683772
941	0.3164909078
942	0.3164206574
943	0.3163572435
944	0.3163199864
945	0.3162135944
946	0.3161696907
947	0.316091471
948	0.3160108804
949	0.3158987775
950	0.3157715092
951	0.3156792098
952	0.3156002321
953	0.3154946279
954	0.315374996
955	0.3152941593
956	0.3151647142
957	0.3150890121
958	0.3149969698
959	0.3148602598
960	0.3148206605
961	0.3147412093
962	0.3147026605
963	0.3145722438
964	0.3144739922
965	0.3144246798
966	0.3143158605
967	0.3142409976
968	0.3141592456
969	0.3140725297
970	0.3139852262
971	0.3138514939
972	0.3137842216
973	0.3137402541
974	0.3135881386
975	0.3134985031
976	0.3134351677
977	0.3133628676
978	0.3132265745
979	0.3130861701
980	0.3130168888
981	0.3129568843
982	0.3128729988
983	0.3127743337
984	0.3126727218
985	0.3125796603
986	0.3124770898
987	0.3123835223
988	0.3122187951
989	0.3121239947
990	0.312057747
991	0.3119798465
992	0.3118902932
993	0.3118226169
994	0.3117380714
995	0.3116332011
996	0.311571268
997	0.311450512
998	0.3112669314
999	0.3111879857
