Time,Open,High,Low,Close,Volume
03.01.2018 19:30:00.000 GMT+0330,1316.501,1317.339,1315.739,1317.009,5091440.201
03.01.2018 20:30:00.000 GMT+0330,1317.009,1317.338,1315.711,1315.791,3908489.943
03.01.2018 21:30:00.000 GMT+0330,1315.821,1317.212,1315.761,1316.132,4345510.006
03.01.2018 22:30:00.000 GMT+0330,1316.132,1316.225,1307.428,1312.961,6977806.091
03.01.2018 23:30:00.000 GMT+0330,1312.969,1316.649,1312.961,1314.968,3632620.096
04.01.2018 00:30:00.000 GMT+0330,1314.971,1315.731,1312.067,1312.851,3526700.02
04.01.2018 01:30:00.000 GMT+0330,1312.851,1312.851,1312.851,1312.851,0
04.01.2018 02:30:00.000 GMT+0330,1313.402,1313.582,1310.499,1311.112,2166640.043
04.01.2018 03:30:00.000 GMT+0330,1311.091,1311.122,1308.451,1309.212,4388390.064
04.01.2018 04:30:00.000 GMT+0330,1309.211,1309.822,1305.869,1307.111,4873400.211
04.01.2018 05:30:00.000 GMT+0330,1307.091,1307.991,1306.591,1306.981,3857919.931
04.01.2018 06:30:00.000 GMT+0330,1306.991,1307.312,1306.111,1307.202,2370199.919
04.01.2018 07:30:00.000 GMT+0330,1307.162,1308.421,1307.161,1307.982,1929340.005
04.01.2018 08:30:00.000 GMT+0330,1307.981,1310.252,1307.538,1310.092,2965100.05
04.01.2018 09:30:00.000 GMT+0330,1310.092,1310.912,1309.111,1310.082,2980429.888
04.01.2018 10:30:00.000 GMT+0330,1310.079,1311.392,1308.158,1310.631,4763589.859
04.01.2018 11:30:00.000 GMT+0330,1310.642,1312.109,1310.502,1311.668,4708509.922
04.01.2018 12:30:00.000 GMT+0330,1311.668,1314.282,1311.529,1313.681,3841639.996
04.01.2018 13:30:00.000 GMT+0330,1313.681,1314.292,1312.198,1313.498,4817349.911
04.01.2018 14:30:00.000 GMT+0330,1313.498,1313.832,1312.482,1312.901,4603129.864
04.01.2018 15:30:00.000 GMT+0330,1312.901,1313.462,1311.631,1313.261,5106619.835
04.01.2018 16:30:00.000 GMT+0330,1313.298,1317.212,1309.168,1314.788,8689570.427
04.01.2018 17:30:00.000 GMT+0330,1314.809,1316.482,1314.238,1314.738,7931749.821
04.01.2018 18:30:00.000 GMT+0330,1314.738,1319.868,1314.382,1319.778,6950709.82
04.01.2018 19:30:00.000 GMT+0330,1319.778,1320.001,1316.742,1319.179,6536369.801
04.01.2018 20:30:00.000 GMT+0330,1319.181,1319.812,1318.118,1319.669,4332029.82
04.01.2018 21:30:00.000 GMT+0330,1319.678,1320.998,1318.211,1319.198,4841289.997
04.01.2018 22:30:00.000 GMT+0330,1319.161,1324.669,1319.161,1324.348,4461269.856
04.01.2018 23:30:00.000 GMT+0330,1324.348,1325.969,1321.728,1321.842,3715909.958
05.01.2018 00:30:00.000 GMT+0330,1321.862,1324.018,1321.802,1322.432,3699290.037
05.01.2018 01:30:00.000 GMT+0330,1322.432,1322.432,1322.432,1322.432,0
05.01.2018 02:30:00.000 GMT+0330,1322.441,1322.942,1320.578,1320.892,1942430.019
05.01.2018 03:30:00.000 GMT+0330,1320.921,1323.362,1320.778,1322.881,3031019.926
05.01.2018 04:30:00.000 GMT+0330,1322.862,1322.968,1321.241,1321.972,2378540.039
05.01.2018 05:30:00.000 GMT+0330,1321.961,1321.962,1320.639,1321.032,3275369.883
05.01.2018 06:30:00.000 GMT+0330,1321.031,1321.989,1321.029,1321.351,2050029.993
05.01.2018 07:30:00.000 GMT+0330,1321.352,1321.902,1321.171,1321.871,1520509.958
05.01.2018 08:30:00.000 GMT+0330,1321.879,1321.879,1319.921,1320.202,2754400.015
05.01.2018 09:30:00.000 GMT+0330,1320.191,1320.252,1317.651,1318.282,5444930.077
05.01.2018 10:30:00.000 GMT+0330,1318.289,1319.601,1317.911,1318.252,5327610.016
05.01.2018 11:30:00.000 GMT+0330,1318.232,1318.632,1316.658,1318.019,6257870.197
05.01.2018 12:30:00.000 GMT+0330,1318.001,1318.298,1316.581,1316.692,3966599.941
05.01.2018 13:30:00.000 GMT+0330,1316.691,1317.729,1316.308,1317.411,3198019.981
05.01.2018 14:30:00.000 GMT+0330,1317.411,1317.411,1316.358,1317.029,3518909.931
05.01.2018 15:30:00.000 GMT+0330,1317.049,1318.282,1316.141,1317.421,4347169.876
05.01.2018 16:30:00.000 GMT+0330,1317.482,1322.879,1316.521,1320.741,9806079.865
05.01.2018 17:30:00.000 GMT+0330,1320.741,1320.811,1313.639,1316.171,11378589.63
05.01.2018 18:30:00.000 GMT+0330,1316.182,1320.582,1316.149,1318.852,9344470.024
05.01.2018 19:30:00.000 GMT+0330,1318.849,1322.102,1318.341,1321.461,6389800.072
05.01.2018 20:30:00.000 GMT+0330,1321.461,1321.559,1320.051,1320.612,5658979.893
05.01.2018 21:30:00.000 GMT+0330,1320.601,1321.382,1319.462,1320.348,4171909.809
05.01.2018 22:30:00.000 GMT+0330,1320.368,1321.239,1320.348,1320.602,3710119.963
05.01.2018 23:30:00.000 GMT+0330,1320.581,1320.712,1318.409,1320.381,3458440.065
06.01.2018 00:30:00.000 GMT+0330,1320.422,1320.679,1319.141,1319.221,1444810.033
06.01.2018 01:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
06.01.2018 02:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
06.01.2018 03:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
06.01.2018 04:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
